stem,selection_reasons,failure_pattern_tags,worst_delta_f1,max_delta_false_edge,max_delta_endpoints,max_mean_abs_bgr_delta,max_mean_abs_chroma_delta,min_grad_mean_ratio,max_grad_mean_ratio,panel_path
weixiaoyuanjia.26,D01_structure_flow:top3_bgr;FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,boundary_f1_loss;false_edge_increase;endpoint_fragmentation;luma_detail_topology_drift;large_color_chroma_shift,-0.445499,0.607127,29.411765,30.956152,15.435522,1.000124,1.472117,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/weixiaoyuanjia.26_fa01_visual_error_map_panel.jpg
xuehong.9,FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,boundary_f1_loss;false_edge_increase;endpoint_fragmentation,-0.318209,0.589210,23.483366,7.088324,3.905811,0.870159,1.027468,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/xuehong.9_fa01_visual_error_map_panel.jpg
xuehong.13,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,boundary_f1_loss;false_edge_increase;endpoint_fragmentation,-0.367885,0.572903,4.726463,7.098565,3.912910,0.866771,1.029989,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/xuehong.13_fa01_visual_error_map_panel.jpg
xuehong.11,FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,boundary_f1_loss;false_edge_increase;endpoint_fragmentation,-0.343801,0.551388,24.399804,7.085648,3.905259,0.868166,1.027996,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/xuehong.11_fa01_visual_error_map_panel.jpg
donghaiyuanjia.26,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,boundary_f1_loss;false_edge_increase;endpoint_fragmentation;large_color_chroma_shift,-0.389637,0.550916,14.285714,29.263998,14.354980,0.869048,1.240895,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/donghaiyuanjia.26_fa01_visual_error_map_panel.jpg
weixiaoyuanjia.21,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5;D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:top3_bgr;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5;legacy_stage1_final:top5_grad;named_in_FF01_FF02_status,boundary_f1_loss;false_edge_increase;endpoint_fragmentation;luma_detail_topology_drift;large_color_chroma_shift,-0.443258,0.583796,73.298429,29.757481,15.207690,1.247594,2.339863,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/weixiaoyuanjia.21_fa01_visual_error_map_panel.jpg
tama.14,D01_structure_flow:top5_grad;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01_and_FF02,endpoint_fragmentation;luma_detail_topology_drift,-0.011905,0.023529,12.345679,6.249840,3.424649,1.209534,3.855333,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/tama.14_fa01_visual_error_map_panel.jpg
tama.11,D01_structure_flow:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01,luma_detail_topology_drift,-0.014149,0.027540,0.000000,6.279372,3.434350,1.165492,3.751624,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/tama.11_fa01_visual_error_map_panel.jpg
tama.9,D01_structure_flow:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01,luma_detail_topology_drift,-0.017405,0.033986,0.000000,6.252282,3.407031,1.087254,3.518271,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/tama.9_fa01_visual_error_map_panel.jpg
jianci.4,D01_structure_flow:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;named_in_FF01_FF02_status,boundary_f1_loss;false_edge_increase;endpoint_fragmentation;luma_detail_topology_drift;large_color_chroma_shift,-0.155261,0.214693,11.992125,14.213421,13.942305,1.210820,1.936629,docs/evidence/fa01_family_audit/fa01_visual_error_map_review_20260527/panels/jianci.4_fa01_visual_error_map_panel.jpg
