variant,anchor,delta_boundary_f1_tol,delta_boundary_precision_tol,delta_boundary_recall_tol,delta_edge_width_proxy,delta_endpoints_per_1k_skel_px,delta_false_edge_ratio_tol,delta_mean_abs_luma_delta_vs_raw,delta_mean_gt_to_pred_distance,delta_mean_pred_to_gt_distance,delta_missed_gt_ratio_tol,delta_p95_abs_luma_delta_vs_raw,delta_p95_gt_to_pred_distance,delta_p95_pred_to_gt_distance,delta_pred_components_per_1k_edge_px,favorable_metric_count,unfavorable_metric_count,pre_screen_decision
raw_input_anchor,raw_input_anchor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,raw_anchor
legacy_stage1_final,raw_input_anchor,-0.1719116693813036,-0.18475379937906206,0.04619398446246559,-0.6228017839670348,22.75368945679078,0.1847537993790621,32.07200949532645,-1.045105974048559,21.557306454043577,-0.04619398446246549,57.51190476190476,-3.717201346688391,53.974658278774484,13.859470051888467,5,9,proxy_negative_or_risky
edge_preserve_original_control,raw_input_anchor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,raw_equivalent_control
edge_preserve_raw_bph_mild_v1,raw_input_anchor,9.563332255080326e-05,0.0005103745777890745,-0.000601840778650109,-0.0035004004756529206,0.30242750959956766,-0.00051037457778913,0.6699036227295264,-0.005840361750476308,-0.02456383798930961,0.0006018407786502339,1.1785714285714286,-0.01036674636995727,-0.15573322068926743,0.08121599953421388,8,6,proxy_edge_safe_candidate
edge_preserve_raw_bph_moderate_v1,raw_input_anchor,0.00036933425915919305,0.0007154603143574301,-0.0006579064745422247,-0.0014328830408811832,0.6597063455834231,-0.0007154603143575411,0.5892465930609476,-0.005719597444226121,-0.002634184800919037,0.000657906474542197,1.130952380952381,0.028508975297819816,-0.058764610522253236,0.11681383558627978,7,7,proxy_edge_safe_candidate
generic_luma_clahe_mild_v1,raw_input_anchor,-0.007570917141132116,-0.00871644915833264,0.0041783074015691035,-0.011676067287559988,1.820993938737125,0.008716449158332584,1.1574590198163475,-0.1037825172336182,0.543145818816889,-0.004178307401568909,3.4285714285714284,-0.2561375897618845,1.5539732580527428,0.6571759295585089,5,9,proxy_mixed_watch
generic_luma_gamma_mild_v1,raw_input_anchor,-0.00014051960330352387,5.7050006468772896e-05,-0.00047109872195727487,0.00020159312157952414,-0.011225438786368613,-5.705000646893943e-05,1.028215332843718,0.00845848435745511,0.009404137282336578,0.0004710987219573304,1.7678571428571428,0.01729976237440667,0.16926287477644308,0.03734491190105693,3,11,proxy_edge_safe_candidate
edge_safe_gamma_bph_v1,raw_input_anchor,6.884364964809819e-05,0.00033892103751193003,-0.00034866137825606547,-0.002134931337733015,0.04219732757828609,-0.00033892103751198555,0.7066788170043201,-0.001301029194971992,-0.022747785914244645,0.0003486613782559961,1.4107142857142858,0.009698779325342244,-0.14408300390759265,0.16586861252478968,7,7,proxy_edge_safe_candidate
boundary_aware_luma_bph_v1,raw_input_anchor,0.0016574486132582278,0.0018679205886243389,-0.00043137248519320437,-0.026353628797105788,0.36336072336201397,-0.0018679205886245054,0.4338293458401625,-0.0007379044380564359,-0.07120391976849305,0.0004313724851933015,1.1011904761904763,-0.008598800133146511,-0.1935434960339535,0.20438365189301777,8,6,proxy_edge_safe_candidate
skeleton_safe_luma_bph_v1,raw_input_anchor,0.001075417568003334,0.0017833642538579442,-0.0014498560247071524,0.030087151688657165,-1.3026989740784032,-0.0017833642538579442,0.5571848830829064,0.018691942458710198,-0.0991898037562029,0.0014498560247072911,1.2261904761904763,0.0679038746066265,0.013496361628380527,-0.43726967022772634,6,8,proxy_positive_candidate
c01_microstructure_csp_v1,raw_input_anchor,0.0004946735769090216,0.000904723406958019,0.00037128217290116616,-0.00510506607582073,0.39008712998064965,-0.000904723406958019,0.7563166759376015,-0.023655583743629194,-0.010780310689341377,-0.0003712821729010274,1.4047619047619047,-0.06030583351137686,0.12479658632722135,0.2679079366232102,9,5,proxy_edge_safe_candidate
topology_guarded_microfusion_v1,raw_input_anchor,0.0016983298277063463,0.002986523410363262,-0.001291004464778922,0.01772917067409896,0.139676765437585,-0.0029865234103633176,0.969681341201067,0.015803671417255583,-0.020558886601032,0.0012910044647790608,1.7202380952380953,0.03125977398001467,0.05381592173311489,-0.11247047490903839,5,9,proxy_edge_safe_candidate
topology_pruned_microfusion_v1,raw_input_anchor,0.0016142768886608927,0.002301722623045732,-0.0004383471789038973,0.013618366287274863,-0.3926679101878321,-0.002301722623045732,0.9566125494561025,0.004739380542878813,-0.039994073472414904,0.00043834717890393893,1.6607142857142858,0.01733719860024152,0.06823720165698077,0.049690475031605175,5,9,proxy_positive_candidate
baseline_stabilized_microfusion_v1,raw_input_anchor,0.0012028478336846282,0.0018474115615796927,-0.00044867975477369537,0.011488696085885763,-0.2569338196913833,-0.0018474115615797482,0.9682166703222763,0.0025425880773815024,-0.026858536782976117,0.00044867975477384803,1.6845238095238095,0.011699724046783544,0.08872656390772704,0.016813216603964065,5,9,proxy_positive_candidate
endpoint_stabilized_weak_boundary_v1,raw_input_anchor,0.00044293284157437274,0.0011002325278715586,-0.0016567061107909398,0.016975622739490603,-0.8096458760971501,-0.001100232527871614,1.0931379025181134,0.02099779665293111,-0.014640891139500845,0.0016567061107910647,2.1726190476190474,0.08270586142048586,0.07632135887937963,-0.3821011678919515,6,8,proxy_positive_candidate
balanced_weak_boundary_pyramid_fusion_v1,raw_input_anchor,0.0020407627080523127,0.003159327580043725,-0.0012251132837189926,0.02607963687236614,-0.24959562290734283,-0.0031593275800437803,0.9401684559526897,0.015279068683391461,-0.08146044200385294,0.0012251132837189649,1.8333333333333333,0.07104635730486741,-0.050192054255060015,-0.329678527633785,7,7,proxy_positive_candidate
ac_guarded_weak_boundary_fusion_v1,raw_input_anchor,0.0017797754568998903,0.0027682206738383064,-0.0012852773095693992,0.021597235351197508,-0.2586543453896226,-0.0027682206738384174,1.032475060295491,0.01088926296177517,-0.05682198600974697,0.0012852773095692882,2.0238095238095237,0.03855901409967011,0.016680236566415374,-0.1836106743549646,6,8,proxy_positive_candidate
precision_rebalanced_ac_guarded_weak_boundary_fusion_v1,raw_input_anchor,7.652639522059967e-05,0.0005913473058740126,-0.0010816155433368557,0.01654720047627478,-0.3212203855365843,-0.0005913473058740681,0.9629001583726633,0.008114746209505252,-0.01940641457584391,0.0010816155433368418,1.9345238095238095,0.026895415891946328,0.061333793097194444,-0.08800432044573014,6,8,proxy_positive_candidate
false_edge_floor_ac_guarded_weak_boundary_fusion_v1,raw_input_anchor,0.0012369499522318916,0.0022256122010488877,-0.001900958812632192,0.021124047693850567,-0.9079455539618735,-0.0022256122010488877,0.9189397304185799,0.026286992127678044,-0.0976051263430433,0.001900958812632192,1.8095238095238095,0.0772524333911413,-0.009774226781946282,-0.2311184699911344,7,7,proxy_positive_candidate
ap_preserving_ac_guarded_weak_boundary_fusion_v1,raw_input_anchor,0.0002802625279654247,0.0008563444171640344,-0.001198453952056422,0.01525724632362957,-0.6136320626574445,-0.000856344417164201,0.9516482388689405,0.010710776963799074,-0.0232411934785679,0.0011984539520564497,1.9107142857142858,0.040007109134865715,0.048473220678676654,-0.21355347252426604,6,8,proxy_positive_candidate
dual_anchor_false_edge_floor_v1,raw_input_anchor,9.319820032926973e-05,0.0005639865622431017,-0.0008806157141794113,0.013409863694443303,-0.7277175496020405,-0.0005639865622431017,0.95403669038344,0.006794004972565659,-0.012352056803998757,0.0008806157141794946,1.9226190476190477,0.03360123620247002,0.06672227228574101,-0.17097013642894865,6,8,proxy_positive_candidate
raw_detail_lowfreq_chroma_v1,raw_input_anchor,0.000228295599033701,0.0003441190711610531,-8.232854842693538e-05,0.0029199599314972957,0.0762850683831573,-0.00034411907116116414,0.6774215266951138,-0.010897699236457559,0.023529234159287427,8.232854842719906e-05,1.3273809523809523,-0.01997731976400452,0.119623063390776,0.0895189175821205,5,9,proxy_edge_safe_candidate
raw_detail_chroma_guard_v1,raw_input_anchor,-7.060839323558277e-05,5.109742974557241e-05,-0.00013219747415860184,0.003608321025517114,0.17496648004575377,-5.109742974562792e-05,0.693654259888544,-0.009614181649142406,0.029812590151297336,0.00013219747415869898,1.3154761904761905,-0.01661193776567771,0.1454611123878813,0.08480832170179653,4,10,proxy_edge_safe_candidate
d01_structure_flow_v1,raw_input_anchor,0.000590327852362682,0.0006715316804098426,-2.49169817979622e-05,-0.010479898967542312,0.4828895671984341,-0.0006715316804097871,0.7712493619183078,-0.007012617978898739,-0.011069984180023695,2.4916981797989957e-05,1.4880952380952381,0.0017131906783021122,0.1493414854966737,0.23971928742369286,6,8,proxy_edge_safe_candidate
topology_locked_visual_chroma_full_flow_v1,raw_input_anchor,-0.030310183504354993,-0.04195980902945329,2.1695353741080226e-05,0.007918717603080605,-0.4930822851443679,0.04195980902945318,2.0792178078776313,-0.05833647186691282,4.691415930753076,-2.1695353740899814e-05,4.571428571428571,-0.3389435125797178,25.332534112063936,0.26009198385984433,5,9,proxy_negative_or_risky
topology_locked_visual_chroma_full_flow_v1_cvgraylock092,raw_input_anchor,-0.030638627954286513,-0.042136534637833734,-0.0010732234656108952,0.008442036363239147,-0.10571646155820247,0.042136534637833734,2.51360183067265,-0.0517159349959142,4.69065091639891,0.0010732234656110201,4.904761904761905,-0.309916882290592,25.68318959795261,0.3075653407159322,3,11,proxy_negative_or_risky
