variant,detector,x_enhancement_var,y_structure_delta,n,pearson,spearman,abs_max_corr
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_pred_edge_density,168,0.2844493128112688,0.5576203474705451,0.5576203474705451
P27_raw_detail_lowfreq_chroma,msfi_50k,grad_mean_ratio,delta_pred_edge_density,168,0.289781175817829,0.551335338314045,0.551335338314045
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_pred_edge_density,168,-0.4586228968146834,-0.5458165793460469,0.5458165793460469
P27_raw_detail_lowfreq_chroma,msfi_50k,mean_abs_luma_delta,delta_pred_edge_density,168,-0.48428438805211976,-0.5096389659396582,0.5096389659396582
P27_raw_detail_lowfreq_chroma,msfi_50k,psnr_vs_raw,delta_pred_edge_density,168,0.4957229147705763,0.4750816376421611,0.4957229147705763
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,0.45736206800454937,0.09042690410121021,0.45736206800454937
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.43520525704824115,0.2885883630709813,0.43520525704824115
P27_raw_detail_lowfreq_chroma,msfi_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,-0.42645069499659594,-0.2491918497561603,0.42645069499659594
P27_raw_detail_lowfreq_chroma,msfi_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,-0.42411778010212847,-0.3203002162494807,0.42411778010212847
D01_structure_flow,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_pred_edge_density,168,0.3953578984037714,0.296218304368927,0.3953578984037714
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.3946783239909534,0.3308098177234837,0.3946783239909534
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_recall_tol,168,0.23360854965195194,0.38951302594151305,0.38951302594151305
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.37786983763085713,-0.2719823850043838,0.37786983763085713
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.3709731519896155,-0.17670369165376798,0.3709731519896155
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.3641126937783397,0.11798193244353183,0.3641126937783397
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_recall_tol,168,0.2934088029607743,0.3560305854418586,0.3560305854418586
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,0.3523250681573149,0.1289123459987144,0.3523250681573149
D01_structure_flow,diffusionedge_baseline_50k,grad_mean_ratio,delta_pred_edge_density,168,-0.22300149605009428,-0.3505498286204785,0.3505498286204785
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.34215110924163766,0.14361134029489625,0.34215110924163766
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.3421511092416376,-0.14361134029489625,0.3421511092416376
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,grad_mean_ratio,delta_pred_edge_density,168,-0.11391744007251653,-0.33835379264056203,0.33835379264056203
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_pred_edge_density,168,0.3345903839431536,0.32072227965585837,0.3345903839431536
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_endpoints_per_1k_skel_px,168,0.3274364657217428,-0.08024561912373665,0.3274364657217428
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.32444433001106243,-0.2168424356090271,0.32444433001106243
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.3244443300110623,0.2168424356090271,0.3244443300110623
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.3208238071675212,-0.29910133063282823,0.3208238071675212
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,-0.27987118793983534,-0.3141889530848436,0.3141889530848436
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_precision_tol,168,-0.31287250514051035,-0.10043986414322664,0.31287250514051035
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_false_edge_ratio_tol,168,0.3128725051405103,0.10043986414322664,0.3128725051405103
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_f1_tol,168,-0.3093337693835172,-0.03880826681379422,0.3093337693835172
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.19364622048107344,0.30802878577642295,0.30802878577642295
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.2547564692541689,0.30611365960081227,0.30611365960081227
FF02_detector_compatible,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_recall_tol,168,-0.2352302588838345,-0.29939081287195796,0.29939081287195796
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.29864710673456846,0.15738177069360856,0.29864710673456846
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.29864710673456835,-0.15738177069360856,0.29864710673456835
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.29858712433106677,0.2690111169636715,0.29858712433106677
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_f1_tol,168,-0.2983756079473062,-0.0472993151482327,0.2983756079473062
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_false_edge_ratio_tol,168,0.2909556634081855,0.10978381360693659,0.2909556634081855
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_precision_tol,168,-0.2909556634081854,-0.10978381360693659,0.2909556634081854
FF01_full_flow_v8,msfi_50k,mean_abs_bgr_delta,delta_boundary_f1_tol,168,-0.28801241199812816,-0.12959574408893476,0.28801241199812816
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_pred_edge_density,168,0.28768356247992116,0.1929759957060439,0.28768356247992116
P27_raw_detail_lowfreq_chroma,msfi_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.2331545981702612,0.2810006468384808,0.2810006468384808
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.2801386918698698,0.20722129248966584,0.2801386918698698
P27_raw_detail_lowfreq_chroma,msfi_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,-0.24431333197637248,-0.27909096573974684,0.27909096573974684
FF02_detector_compatible,diffusionedge_baseline_50k,luma_std_ratio,delta_pred_edge_density,168,0.27509714146663256,0.21241276330570813,0.27509714146663256
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_precision_tol,168,0.2702203949874189,0.12540177464175623,0.2702203949874189
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,-0.27022039498741884,-0.12540177464175623,0.27022039498741884
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.2701936460804375,0.23834553672543593,0.2701936460804375
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.2700237748455161,0.23561472221816976,0.2700237748455161
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_recall_tol,168,0.21832865571820992,0.26741860353164415,0.26741860353164415
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.26508878822276555,0.09699448015336261,0.26508878822276555
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.2647507297156972,0.14036259916584762,0.2647507297156972
FF02_detector_compatible,msfi_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.2647507297156971,-0.14036259916584762,0.2647507297156971
FF02_detector_compatible,msfi_50k,psnr_vs_raw,delta_endpoints_per_1k_skel_px,168,-0.26135485026365934,-0.23599990185527378,0.26135485026365934
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,-0.26036257027306203,-0.1986454782212319,0.26036257027306203
FF01_full_flow_v8,msfi_50k,psnr_vs_raw,delta_boundary_precision_tol,168,0.2603625702730619,0.1986454782212319,0.2603625702730619
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_false_edge_ratio_tol,168,0.25844921266117865,0.00019487651915104702,0.25844921266117865
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_precision_tol,168,-0.2584492126611786,-0.00019487651915104702,0.2584492126611786
FF02_detector_compatible,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_recall_tol,168,0.23482204660161204,0.2545311130849424,0.2545311130849424
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,0.2539122923639577,0.13602867281244757,0.2539122923639577
