variant,detector,ods,ois,ap,ac,source_json,delta_ods_vs_raw,delta_ods_vs_legacy,delta_ois_vs_raw,delta_ois_vs_legacy,delta_ap_vs_raw,delta_ap_vs_legacy,delta_ac_vs_raw,delta_ac_vs_legacy
raw_anchor,msfi_50k,0.783527,0.794213,0.345899,0.796846,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v2_ff02_results_20260527.json,0.0,0.19523999999999997,0.0,0.12285599999999997,0.0,0.08190200000000003,0.0,0.056546000000000096
raw_anchor,diffusionedge_baseline_50k,0.770521,0.779986,0.363065,0.7969,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v2_ff02_results_20260527.json,0.0,0.24042700000000006,0.0,0.21207599999999993,0.0,0.13899200000000003,0.0,0.062000000000000055
legacy_stage1_final,msfi_50k,0.588287,0.671357,0.263997,0.7403,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v2_ff02_results_20260527.json,-0.19523999999999997,0.0,-0.12285599999999997,0.0,-0.08190200000000003,0.0,-0.056546000000000096,0.0
legacy_stage1_final,diffusionedge_baseline_50k,0.530094,0.56791,0.224073,0.7349,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v2_ff02_results_20260527.json,-0.24042700000000006,0.0,-0.21207599999999993,0.0,-0.13899200000000003,0.0,-0.062000000000000055,0.0
P27_raw_detail_lowfreq_chroma,msfi_50k,0.783329,0.794822,0.346115,0.7951,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\raw_detail_lowfreq_chroma_p27_results_20260526.json,-0.00019799999999992046,0.19504200000000005,0.0006090000000000817,0.12346500000000005,0.00021599999999999397,0.08211800000000002,-0.0017460000000000253,0.05480000000000007
P27_raw_detail_lowfreq_chroma,diffusionedge_baseline_50k,0.772587,0.782971,0.372084,0.7949,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\raw_detail_lowfreq_chroma_p27_results_20260526.json,0.0020660000000000123,0.24249300000000007,0.0029850000000000154,0.21506099999999995,0.009019,0.14801100000000003,-0.0020000000000000018,0.06000000000000005
D01_structure_flow,msfi_50k,0.783871,0.795067,0.346008,0.7934,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\d01_structure_flow_d01_results_20260526.json,0.00034400000000001096,0.19558399999999998,0.0008540000000000214,0.12370999999999999,0.00010899999999997023,0.082011,-0.00344600000000006,0.053100000000000036
D01_structure_flow,diffusionedge_baseline_50k,0.77173,0.783218,0.371149,0.7948,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\d01_structure_flow_d01_results_20260526.json,0.0012090000000000156,0.24163600000000007,0.0032320000000000126,0.21530799999999994,0.00808399999999998,0.147076,-0.002100000000000102,0.05989999999999995
FF01_full_flow_v8,msfi_50k,0.739726,0.753251,0.310442,0.7901,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v1_v8_results_20260527.json,-0.04380099999999998,0.151439,-0.04096199999999994,0.08189400000000002,-0.035457000000000016,0.046445000000000014,-0.00674600000000003,0.049800000000000066
FF01_full_flow_v8,diffusionedge_baseline_50k,0.717475,0.727626,0.336548,0.7944,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v1_v8_results_20260527.json,-0.05304600000000004,0.18738100000000002,-0.05235999999999996,0.15971599999999997,-0.026517000000000013,0.11247500000000002,-0.0025000000000000577,0.0595
FF02_detector_compatible,msfi_50k,0.737952,0.751109,0.303208,0.792,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v2_ff02_results_20260527.json,-0.04557499999999992,0.14966500000000005,-0.04310399999999992,0.07975200000000005,-0.042691000000000034,0.039210999999999996,-0.004846000000000017,0.05170000000000008
FF02_detector_compatible,diffusionedge_baseline_50k,0.71102,0.720141,0.320951,0.794,D:\Desktop\MyEdgeCodex\docs\paper_assets\stage1_coupling\full_flow_downstream_stage1_mainline_v2_ff02_results_20260527.json,-0.059501000000000026,0.18092600000000003,-0.059844999999999926,0.152231,-0.04211400000000004,0.09687799999999999,-0.0029000000000000137,0.05910000000000004
