stem,selection_reasons,panel_path
weixiaoyuanjia.26,D01_structure_flow:top3_bgr;FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,docs/fa01_visual_error_map_review_20260527/panels/weixiaoyuanjia.26_fa01_visual_error_map_panel.jpg
xuehong.9,FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,docs/fa01_visual_error_map_review_20260527/panels/xuehong.9_fa01_visual_error_map_panel.jpg
xuehong.13,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,docs/fa01_visual_error_map_review_20260527/panels/xuehong.13_fa01_visual_error_map_panel.jpg
xuehong.11,FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,docs/fa01_visual_error_map_review_20260527/panels/xuehong.11_fa01_visual_error_map_panel.jpg
donghaiyuanjia.26,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,docs/fa01_visual_error_map_review_20260527/panels/donghaiyuanjia.26_fa01_visual_error_map_panel.jpg
weixiaoyuanjia.21,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5;D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:top3_bgr;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5;legacy_stage1_final:top5_grad;named_in_FF01_FF02_status,docs/fa01_visual_error_map_review_20260527/panels/weixiaoyuanjia.21_fa01_visual_error_map_panel.jpg
tama.14,D01_structure_flow:top5_grad;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01_and_FF02,docs/fa01_visual_error_map_review_20260527/panels/tama.14_fa01_visual_error_map_panel.jpg
tama.11,D01_structure_flow:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01,docs/fa01_visual_error_map_review_20260527/panels/tama.11_fa01_visual_error_map_panel.jpg
tama.9,D01_structure_flow:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01,docs/fa01_visual_error_map_review_20260527/panels/tama.9_fa01_visual_error_map_panel.jpg
jianci.4,D01_structure_flow:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;named_in_FF01_FF02_status,docs/fa01_visual_error_map_review_20260527/panels/jianci.4_fa01_visual_error_map_panel.jpg
donghaiyuanjia.18,D01_structure_flow:top3_bgr;FF01_full_flow_v8:top5_grad;named_in_FF01_status,docs/fa01_visual_error_map_review_20260527/panels/donghaiyuanjia.18_fa01_visual_error_map_panel.jpg
