comparison,detector,candidate,tag,image_count_multilabel,delta_boundary_f1_tol,delta_boundary_precision_tol,delta_boundary_recall_tol,delta_false_edge_ratio_tol,delta_missed_gt_ratio_tol,delta_pred_components_per_1k_edge_px,delta_endpoints_per_1k_skel_px,delta_p95_pred_to_gt_distance,direction_boundary_f1_tol,direction_boundary_precision_tol,direction_boundary_recall_tol,direction_false_edge_ratio_tol,direction_missed_gt_ratio_tol,direction_pred_components_per_1k_edge_px,direction_endpoints_per_1k_skel_px,direction_p95_pred_to_gt_distance
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,all_auto_candidates,168,-0.21343268036579158,-0.2683194237820349,-0.08375500140536854,0.2683194237820349,0.08375500140536854,58.98060175499169,91.10457501335243,72.4141987193623,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,low_contrast_boundary,42,-0.26332418803969937,-0.31955148072646794,-0.0687315446155739,0.31955148072646794,0.06873154461557392,62.740988575274514,118.2367947648793,84.92075596521141,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,blurred_contour,42,-0.4158353464566626,-0.5408220020959379,-0.06661079318339136,0.5408220020959379,0.06661079318339135,89.72119777717158,130.80872646101815,120.1018314233231,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,false_edge_background,42,-0.060918599842405066,-0.06939562822993868,-0.107959871123204,0.06939562822993868,0.10795987112320402,58.479773130787855,59.703644845531066,37.01616925542001,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,thin_structure,42,-0.14931357528133768,-0.17287037040344444,-0.1257192029418841,0.17287037040344444,0.1257192029418841,79.16458452596045,98.82378785159247,52.426740603978274,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,overlap_clutter,49,-0.12484018632785174,-0.16775609713424,-0.08869385575368009,0.16775609713424,0.0886938557536801,66.49021480546074,89.71484175273635,49.99588292316599,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_msfi,MSFI 50k,legacy Stage1 Final,unassigned_proxy,45,-0.19254354197490628,-0.2407138030752564,-0.07805391679691645,0.2407138030752564,0.07805391679691644,40.77061812303582,79.98002982017235,66.69432626659739,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,all_auto_candidates,168,-0.2959080154233244,-0.3910445960856355,-0.1329702785980583,0.3910445960856355,0.1329702785980583,135.39254637452606,223.37888644925286,92.40118180090008,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,low_contrast_boundary,42,-0.3203948951187639,-0.3954840848875932,-0.15948324183490206,0.3954840848875932,0.15948324183490206,138.95505144573042,226.4111452230363,96.35060042229277,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,blurred_contour,42,-0.5064740221248009,-0.6478152437019384,-0.13397336166449503,0.6478152437019384,0.13397336166449503,150.93824152654048,250.6373024862096,146.32621007152645,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,false_edge_background,42,-0.11105115134742398,-0.14457953959998118,-0.13045104680812658,0.14457953959998118,0.13045104680812658,130.8876362982682,201.82171727113888,33.57577018626168,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,thin_structure,42,-0.1971455030472585,-0.2439755049391946,-0.16503824997830469,0.24397550493919457,0.16503824997830466,148.20292395072468,224.70931020561477,58.18532205902962,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,overlap_clutter,49,-0.18981440030313612,-0.264849684776905,-0.11501092702085826,0.264849684776905,0.11501092702085826,137.33519895606133,219.77290354357544,69.66834300848123,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
legacy_final_vs_raw_baseline,DiffusionEdge baseline 50k,legacy Stage1 Final,unassigned_proxy,45,-0.3277826137539954,-0.4467571902592435,-0.14138480308806117,0.44675719025924343,0.14138480308806117,136.5687092762207,232.1371654349283,102.2527729727588,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p4_moderate_vs_raw_msfi,MSFI 50k,edge_preserve_raw_bph_moderate_v1,all_auto_candidates,168,0.0014598837231784762,0.006839795261077286,-0.0035710664860054155,-0.006839795261077287,0.003571066486005418,-0.560834319412782,-1.4171159085104696,-0.4364960694762032,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p4_moderate_vs_raw_msfi,MSFI 50k,edge_preserve_raw_bph_moderate_v1,low_contrast_boundary,42,-0.0004053996248724389,0.006441370305984351,-0.005594408142798461,-0.006441370305984347,0.005594408142798465,-0.7617251281998728,-1.0824866369476949,-0.944450428322032,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p4_moderate_vs_raw_msfi,MSFI 50k,edge_preserve_raw_bph_moderate_v1,blurred_contour,42,0.000927251146979309,0.005389016609240117,-0.0026034390636747425,-0.005389016609240112,0.0026034390636747377,-0.7604238609275106,-0.1525084086676704,-0.9374734920017339,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
