group,detector,comparison_kind,baseline,candidate,candidate_type,status,ods,delta_ods,ois,delta_ois,ap,delta_ap,ac,delta_ac
stagewise,DiffusionEdge baseline 50k,stage_vs_raw,Raw,BPH,stage1_intermediate,all_metrics_lower,0.712919,-0.05760200000000004,0.722432,-0.057553999999999994,0.338546,-0.024519000000000013,0.7942,-0.0027000000000000357
stagewise,DiffusionEdge baseline 50k,stage_vs_raw,Raw,IMF1Ray,stage1_intermediate,all_metrics_lower,0.687163,-0.08335800000000004,0.722376,-0.05760999999999994,0.355401,-0.007664000000000004,0.7417,-0.05520000000000003
stagewise,DiffusionEdge baseline 50k,stage_vs_raw,Raw,RGHS,stage1_intermediate,all_metrics_lower,0.612234,-0.15828700000000007,0.65375,-0.1262359999999999,0.286407,-0.076658,0.7519,-0.04500000000000004
stagewise,DiffusionEdge baseline 50k,stage_vs_raw,Raw,CLAHE,stage1_intermediate,all_metrics_lower,0.584453,-0.186068,0.665213,-0.1147729999999999,0.265935,-0.09713000000000005,0.7534,-0.043500000000000094
stagewise,DiffusionEdge baseline 50k,stage_vs_raw,Raw,Fused,stage1_intermediate,all_metrics_lower,0.629095,-0.14142600000000005,0.689792,-0.090194,0.302611,-0.06045400000000001,0.7539,-0.04300000000000004
stagewise,DiffusionEdge baseline 50k,stage_vs_raw,Raw,Final,stage1_final_p1,all_metrics_lower,0.530094,-0.24042700000000006,0.56791,-0.21207599999999993,0.224073,-0.13899200000000003,0.7349,-0.062000000000000055
stagewise,MSFI 50k,stage_vs_raw,Raw,BPH,stage1_intermediate,all_metrics_lower,0.739237,-0.04428999999999994,0.752407,-0.0418059999999999,0.31061,-0.035289000000000015,0.7942,-0.002646000000000037
stagewise,MSFI 50k,stage_vs_raw,Raw,IMF1Ray,stage1_intermediate,mostly_lower,0.731747,-0.05177999999999994,0.754032,-0.04018099999999991,0.350926,0.005027000000000004,0.7573,-0.03954600000000008
stagewise,MSFI 50k,stage_vs_raw,Raw,RGHS,stage1_intermediate,all_metrics_lower,0.67172,-0.11180699999999999,0.723929,-0.0702839999999999,0.296742,-0.049157000000000006,0.7619,-0.03494600000000003
stagewise,MSFI 50k,stage_vs_raw,Raw,CLAHE,stage1_intermediate,all_metrics_lower,0.639906,-0.143621,0.720816,-0.07339699999999993,0.279873,-0.06602600000000003,0.775,-0.021846000000000032
stagewise,MSFI 50k,stage_vs_raw,Raw,Fused,stage1_intermediate,all_metrics_lower,0.669946,-0.11358099999999993,0.721055,-0.07315799999999995,0.29117,-0.05472900000000003,0.7683,-0.02854600000000007
stagewise,MSFI 50k,stage_vs_raw,Raw,Final,stage1_final_p1,all_metrics_lower,0.588287,-0.19523999999999997,0.671357,-0.12285599999999997,0.263997,-0.08190200000000003,0.7403,-0.056546000000000096
P4 downstream-driven variants,MSFI 50k,variant_vs_historical_raw,historical_raw_msfi_anchor,edge_preserve_original_control,downstream_variant_p4,near_raw_edge_safe_candidate,0.783082,-0.0004450000000000287,0.794168,-4.499999999996174e-05,0.337353,-0.008545999999999998,0.7972,0.00035399999999996545
P4 downstream-driven variants,MSFI 50k,variant_vs_historical_raw,historical_raw_msfi_anchor,edge_preserve_raw_bph_mild_v1,downstream_variant_p4,near_raw_edge_safe_candidate,0.782743,-0.0007840000000000069,0.793599,-0.0006139999999998924,0.345909,1.0000000000010001e-05,0.7957,-0.0011460000000000914
P4 downstream-driven variants,MSFI 50k,variant_vs_historical_raw,historical_raw_msfi_anchor,edge_preserve_raw_bph_moderate_v1,downstream_variant_p4,near_raw_edge_safe_candidate,0.782999,-0.0005279999999999729,0.794527,0.00031400000000003647,0.345952,5.299999999996974e-05,0.7952,-0.0016460000000000363
P4 downstream-driven variants,MSFI 50k,variant_vs_historical_raw,historical_raw_msfi_anchor,legacy_stage1_final_p1,legacy_stage1_final_p1,all_metrics_lower,0.588287,-0.19523999999999997,0.671357,-0.12285599999999997,0.263997,-0.08190200000000003,0.7403,-0.056546000000000096
P4 downstream-driven variants,MSFI 50k,variant_vs_same_round_original,edge_preserve_original_control,edge_preserve_raw_bph_mild_v1,downstream_variant_p4,near_raw_edge_safe_candidate,0.782743,-0.0003389999999999782,0.793599,-0.0005689999999999307,0.345909,0.008556000000000008,0.7957,-0.0015000000000000568
P4 downstream-driven variants,MSFI 50k,variant_vs_same_round_original,edge_preserve_original_control,edge_preserve_raw_bph_moderate_v1,downstream_variant_p4,near_raw_edge_safe_candidate,0.782999,-8.299999999994423e-05,0.794527,0.0003589999999999982,0.345952,0.008598999999999968,0.7952,-0.0020000000000000018
P4 downstream-driven variants,MSFI 50k,variant_vs_same_round_original,edge_preserve_original_control,legacy_stage1_final_p1,legacy_stage1_final_p1,all_metrics_lower,0.588287,-0.19479499999999994,0.671357,-0.122811,0.263997,-0.07335600000000003,0.7403,-0.05690000000000006
P5C downstream-driven variants,DiffusionEdge baseline 50k,variant_vs_historical_raw,historical_raw_diffusionedge_anchor,edge_preserve_original_control,downstream_variant_baseline_p5c,near_raw_edge_safe_candidate,0.77147,0.0009489999999999776,0.78149,0.0015040000000000608,0.362827,-0.00023800000000001598,0.7934,-0.0035000000000000586
P5C downstream-driven variants,DiffusionEdge baseline 50k,variant_vs_historical_raw,historical_raw_diffusionedge_anchor,edge_preserve_raw_bph_mild_v1,downstream_variant_baseline_p5c,near_raw_edge_safe_candidate,0.770699,0.00017800000000001148,0.782323,0.0023370000000000335,0.370985,0.007919999999999983,0.7941,-0.0028000000000000247
P5C downstream-driven variants,DiffusionEdge baseline 50k,variant_vs_historical_raw,historical_raw_diffusionedge_anchor,edge_preserve_raw_bph_moderate_v1,downstream_variant_baseline_p5c,near_raw_edge_safe_candidate,0.771168,0.0006469999999999532,0.782422,0.0024359999999999937,0.363047,-1.8000000000018e-05,0.794,-0.0029000000000000137
P5C downstream-driven variants,DiffusionEdge baseline 50k,variant_vs_historical_raw,historical_raw_diffusionedge_anchor,legacy_stage1_final_p1,legacy_stage1_final_p1,all_metrics_lower,0.530094,-0.24042700000000006,0.56791,-0.21207599999999993,0.224073,-0.13899200000000003,0.7349,-0.062000000000000055
P5C downstream-driven variants,DiffusionEdge baseline 50k,variant_vs_same_round_original,edge_preserve_original_control,edge_preserve_raw_bph_mild_v1,downstream_variant_baseline_p5c,near_raw_edge_safe_candidate,0.770699,-0.0007709999999999662,0.782323,0.0008329999999999727,0.370985,0.008157999999999999,0.7941,0.0007000000000000339
P5C downstream-driven variants,DiffusionEdge baseline 50k,variant_vs_same_round_original,edge_preserve_original_control,edge_preserve_raw_bph_moderate_v1,downstream_variant_baseline_p5c,near_raw_edge_safe_candidate,0.771168,-0.00030200000000002447,0.782422,0.0009319999999999329,0.363047,0.00021999999999999797,0.794,0.0006000000000000449
