variant,anchor,delta_boundary_f1_tol,delta_boundary_precision_tol,delta_boundary_recall_tol,delta_edge_width_proxy,delta_endpoints_per_1k_skel_px,delta_false_edge_ratio_tol,delta_mean_abs_luma_delta_vs_raw,delta_mean_gt_to_pred_distance,delta_mean_pred_to_gt_distance,delta_missed_gt_ratio_tol,delta_p95_abs_luma_delta_vs_raw,delta_p95_gt_to_pred_distance,delta_p95_pred_to_gt_distance,delta_pred_components_per_1k_edge_px,favorable_metric_count,unfavorable_metric_count,pre_screen_decision
raw_input_anchor,raw_input_anchor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,raw_anchor
legacy_stage1_final,raw_input_anchor,-0.1719116693813036,-0.18475379937906206,0.04619398446246559,-0.6228017839670348,22.75368945679078,0.1847537993790621,32.07200949532645,-1.045105974048559,21.557306454043577,-0.04619398446246549,57.51190476190476,-3.717201346688391,53.974658278774484,13.859470051888467,5,9,proxy_negative_or_risky
edge_preserve_original_control,raw_input_anchor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,raw_equivalent_control
edge_preserve_raw_bph_mild_v1,raw_input_anchor,9.563332255080326e-05,0.0005103745777890745,-0.000601840778650109,-0.0035004004756529206,0.30242750959956766,-0.00051037457778913,0.6699036227295264,-0.005840361750476308,-0.02456383798930961,0.0006018407786502339,1.1785714285714286,-0.01036674636995727,-0.15573322068926743,0.08121599953421388,8,6,proxy_edge_safe_candidate
edge_preserve_raw_bph_moderate_v1,raw_input_anchor,0.00036933425915919305,0.0007154603143574301,-0.0006579064745422247,-0.0014328830408811832,0.6597063455834231,-0.0007154603143575411,0.5892465930609476,-0.005719597444226121,-0.002634184800919037,0.000657906474542197,1.130952380952381,0.028508975297819816,-0.058764610522253236,0.11681383558627978,7,7,proxy_edge_safe_candidate
generic_luma_clahe_mild_v1,raw_input_anchor,-0.007570917141132116,-0.00871644915833264,0.0041783074015691035,-0.011676067287559988,1.820993938737125,0.008716449158332584,1.1574590198163475,-0.1037825172336182,0.543145818816889,-0.004178307401568909,3.4285714285714284,-0.2561375897618845,1.5539732580527428,0.6571759295585089,5,9,proxy_mixed_watch
generic_luma_gamma_mild_v1,raw_input_anchor,-0.00014051960330352387,5.7050006468772896e-05,-0.00047109872195727487,0.00020159312157952414,-0.011225438786368613,-5.705000646893943e-05,1.028215332843718,0.00845848435745511,0.009404137282336578,0.0004710987219573304,1.7678571428571428,0.01729976237440667,0.16926287477644308,0.03734491190105693,3,11,proxy_edge_safe_candidate
edge_safe_gamma_bph_v1,raw_input_anchor,6.884364964809819e-05,0.00033892103751193003,-0.00034866137825606547,-0.002134931337733015,0.04219732757828609,-0.00033892103751198555,0.7066788170043201,-0.001301029194971992,-0.022747785914244645,0.0003486613782559961,1.4107142857142858,0.009698779325342244,-0.14408300390759265,0.16586861252478968,7,7,proxy_edge_safe_candidate
boundary_aware_luma_bph_v1,raw_input_anchor,0.0016574486132582278,0.0018679205886243389,-0.00043137248519320437,-0.026353628797105788,0.36336072336201397,-0.0018679205886245054,0.4338293458401625,-0.0007379044380564359,-0.07120391976849305,0.0004313724851933015,1.1011904761904763,-0.008598800133146511,-0.1935434960339535,0.20438365189301777,8,6,proxy_edge_safe_candidate
skeleton_safe_luma_bph_v1,raw_input_anchor,0.001075417568003334,0.0017833642538579442,-0.0014498560247071524,0.030087151688657165,-1.3026989740784032,-0.0017833642538579442,0.5571848830829064,0.018691942458710198,-0.0991898037562029,0.0014498560247072911,1.2261904761904763,0.0679038746066265,0.013496361628380527,-0.43726967022772634,6,8,proxy_positive_candidate
c01_microstructure_csp_v1,raw_input_anchor,0.0004946735769090216,0.000904723406958019,0.00037128217290116616,-0.00510506607582073,0.39008712998064965,-0.000904723406958019,0.7563166759376015,-0.023655583743629194,-0.010780310689341377,-0.0003712821729010274,1.4047619047619047,-0.06030583351137686,0.12479658632722135,0.2679079366232102,9,5,proxy_edge_safe_candidate
