stem,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
chazhuang.3,1.1333788633346558,1.0798046588897705,0.014531250111758709,45.21319381360569,0.35204175114631653,0.35492420196533203,1.0081878067059997,26.455039978027344,26.83810806274414,1.0144799947738647
chazhuang.4,11.968606948852539,1.098789095878601,11.992040634155273,25.710363340420777,0.09845991432666779,0.10376414656639099,1.0538719866061734,4.6736063957214355,4.791927337646484,1.025316834449768
chazhuang.6,0.8845247626304626,0.7675390839576721,0.032685548067092896,45.98214103726178,0.22743818163871765,0.24252355098724365,1.0663273341947552,15.079992294311523,15.7179536819458,1.0423051118850708
chichaoyiwan.1,12.807594299316406,1.070127010345459,8.609448432922363,24.603249871262392,0.07516802847385406,0.07891934365034103,1.049905713941747,3.373218536376953,4.138931751251221,1.2269978523254395
chichaoyiwan.16,12.68213176727295,1.0864940881729126,8.551977157592773,24.65478389086023,0.08666890859603882,0.0916614904999733,1.057605211917454,4.073446273803711,4.7945427894592285,1.1770236492156982
chichaoyiwan.2,12.68359375,1.0702344179153442,8.513593673706055,24.638586089081752,0.07467972487211227,0.07932929694652557,1.0622601518700754,2.5510356426239014,3.1899030208587646,1.2504345178604126
chichaoyiwan.3,12.682297706604004,1.0634570121765137,8.528183937072754,24.660450033750998,0.0717335119843483,0.07659754157066345,1.0678069201403317,2.7578723430633545,3.396022319793701,1.2313921451568604
chichaoyiwan.4,12.69546890258789,1.0810840129852295,8.5228910446167,24.63237299067968,0.07110127061605453,0.07478589564561844,1.0518221959441287,2.9007372856140137,3.664072275161743,1.263152003288269
chichaoyiwan.5,8.810237884521484,1.1387499570846558,7.762866020202637,26.032507687212817,0.06666603684425354,0.06977444887161255,1.0466266052082012,11.859307289123535,12.538691520690918,1.0572869777679443
chichaoyiwan.6,7.023974418640137,1.0871679782867432,3.485463857650757,30.258940502924286,0.04342668503522873,0.045809388160705566,1.0548672335610398,4.173996925354004,4.795611381530762,1.1489254236221313
chichaoyiwan.7,7.051181793212891,1.058447241783142,3.508129835128784,30.230983904971573,0.04456803947687149,0.04704543948173523,1.0555868954155474,4.3017473220825195,4.790398597717285,1.1135936975479126
donghaiyuanjia.12,10.20362663269043,2.015000104904175,9.476532936096191,26.03328236791279,0.07483092695474625,0.08455491811037064,1.1299461388679417,4.916294097900391,5.638345241546631,1.1468689441680908
donghaiyuanjia.13,9.975862503051758,1.7190136909484863,9.443218231201172,26.177006964368857,0.11295324563980103,0.12355485558509827,1.093858381770158,7.969227313995361,8.679632186889648,1.0891435146331787
donghaiyuanjia.14,10.018229484558105,1.775234341621399,9.453935623168945,26.087737908225957,0.10307585448026657,0.1129210963845253,1.0955145204314463,7.330436706542969,8.044443130493164,1.0974029302597046
donghaiyuanjia.15,10.143004417419434,1.9688867330551147,9.469629287719727,26.096800656859784,0.0989142581820488,0.10894527286291122,1.1014111995966187,6.767454624176025,7.45290470123291,1.1012862920761108
donghaiyuanjia.16,22.657821655273438,8.275986671447754,9.008540153503418,19.466897099661182,0.059432029724121094,0.06689994037151337,1.1256546269141927,4.173556327819824,5.2364702224731445,1.2546782493591309
donghaiyuanjia.17,22.664159774780273,8.356797218322754,8.988178253173828,19.479542914020865,0.12108104676008224,0.13251087069511414,1.094398117182465,6.509620189666748,7.702299118041992,1.1832178831100464
donghaiyuanjia.18,22.315156936645508,9.725439071655273,7.494106292724609,19.76530026613338,0.057311948388814926,0.08184429258108139,1.42804935888386,4.387070655822754,5.60880184173584,1.2784844636917114
donghaiyuanjia.19,11.026721954345703,6.917089939117432,8.150849342346191,26.040951594957033,0.11859603226184845,0.13538198173046112,1.1415388694455821,6.480216026306152,7.999782562255859,1.2344931364059448
donghaiyuanjia.20,10.035325050354004,2.0948827266693115,6.921543121337891,25.460659491350523,0.12633371353149414,0.13313700258731842,1.0538517218547252,13.102209091186523,13.893218040466309,1.060372233390808
donghaiyuanjia.21,9.942109107971191,2.0966601371765137,6.964946269989014,25.533337714827656,0.1281764805316925,0.1347336322069168,1.051157206040197,13.095222473144531,13.88012409210205,1.0599379539489746
donghaiyuanjia.22,10.322086334228516,3.0689258575439453,6.936758041381836,25.67141564988038,0.13046544790267944,0.1376727968454361,1.0552433460611703,9.11950969696045,10.05031681060791,1.1020677089691162
donghaiyuanjia.24,12.80794906616211,1.1729882955551147,8.1180419921875,24.156350997942866,0.1230831891298294,0.1250435709953308,1.0159272835180302,14.311968803405762,15.213659286499023,1.063002586364746
donghaiyuanjia.26,22.585758209228516,7.474755764007568,10.827783584594727,19.334383277467392,0.11046558618545532,0.11897793412208557,1.0770588121922466,3.8546574115753174,4.702505588531494,1.219954252243042
duolie.5,8.587082862854004,1.198330044746399,4.344638824462891,28.69512058177124,0.43871963024139404,0.44591015577316284,1.016389794346386,8.397053718566895,8.845901489257812,1.053452968597412
duolie.6,8.226364135742188,1.0992969274520874,4.171474456787109,29.041864314331598,0.442950963973999,0.4486304819583893,1.012821999348672,8.126280784606934,8.520665168762207,1.0485320091247559
