method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
baseline,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\Final\chazhuang.1_Final.png,17.97232804,1.30141,7.17359072,347.2499118,15.88046331,0.8767879009,18.87577479,2.077159882,39.66598946
clahe_s01,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s01\png\Final\chazhuang.1_Final.png,17.97765742,1.301101267,7.183907281,350.1365008,16.01532681,0.8763244152,18.82180924,2.13542223,39.736415
clahe_s02,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s02\png\Final\chazhuang.1_Final.png,17.43212028,1.270759082,7.150953756,346.088847,15.66373925,0.8812039495,19.03002195,1.975318789,38.49311815
clahe_s03,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s03\png\Final\chazhuang.1_Final.png,17.47785546,1.273733641,7.15330862,344.9946366,15.67264896,0.8811718225,19.11024379,1.975155234,38.71528157
clahe_s04,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s04\png\Final\chazhuang.1_Final.png,17.51193115,1.276199119,7.155037712,346.304614,15.68989185,0.8810223341,19.14622765,1.972421765,38.62766598
clahe_s05,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s05\png\Final\chazhuang.1_Final.png,17.48794837,1.274229254,7.145480428,346.8534385,15.69464453,0.8807119131,19.04251876,1.978885412,38.59170602
clahe_s06,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s06\png\Final\chazhuang.1_Final.png,17.54012351,1.276655771,7.148266297,346.7045063,15.68048259,0.8803962469,18.92819937,1.982889771,38.72995083
clahe_s07,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s07\png\Final\chazhuang.1_Final.png,17.47677834,1.272842559,7.164877789,346.3036148,15.74759643,0.8785385489,19.05767886,1.953735352,38.83195541
clahe_s08,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s08\png\Final\chazhuang.1_Final.png,17.41313296,1.270098879,7.149099296,343.0156838,15.6239711,0.8818336129,19.1355171,1.97183466,38.49957098
baseline,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\Final\chazhuang.10_Final.png,29.15519536,1.952556949,6.126385293,600.3387098,19.37247355,0.776915133,13.51285719,0.3912527263,55.09171223
