method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
baseline,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\CLAHE\chazhuang.1_CLAHE.png,15.56416375,1.175312011,7.554843737,98.83570729,9.179517139,0.899920702,21.40234313,1.399365664,33.75068761
clahe_s01,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s01\png\CLAHE\chazhuang.1_CLAHE.png,17.78060357,1.308650428,7.587335994,106.4706064,9.345050126,0.8932741284,19.85288055,1.355938792,36.89801573
clahe_s02,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s02\png\CLAHE\chazhuang.1_CLAHE.png,16.32497062,1.221365469,7.582921638,99.63546238,9.036004839,0.9033580422,20.19264694,1.385210156,34.58482357
clahe_s03,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s03\png\CLAHE\chazhuang.1_CLAHE.png,15.34635267,1.161380436,7.579451108,98.92315341,9.193538018,0.9000424147,21.45783301,1.40138936,33.21152854
clahe_s04,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s04\png\CLAHE\chazhuang.1_CLAHE.png,15.36042304,1.16217263,7.578755279,99.31759894,9.149014808,0.8985080123,20.9097562,1.404561996,33.05070056
clahe_s05,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s05\png\CLAHE\chazhuang.1_CLAHE.png,14.87145021,1.133577365,7.565113547,95.47418201,9.064059157,0.9084455371,21.89286908,1.416372061,32.29691487
clahe_s06,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s06\png\CLAHE\chazhuang.1_CLAHE.png,15.13165631,1.148774276,7.597815186,94.84125686,8.914431911,0.9006606936,20.85267024,1.402687192,32.84504034
clahe_s07,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s07\png\CLAHE\chazhuang.1_CLAHE.png,18.02657404,1.323318328,7.582149469,109.6035658,9.476705773,0.8930898309,19.79556124,1.362375259,37.30726393
clahe_s08,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s08\png\CLAHE\chazhuang.1_CLAHE.png,14.99723449,1.140172867,7.573282795,97.45908111,9.166100851,0.9010644555,21.74753,1.414893866,32.68982515
baseline,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\CLAHE\chazhuang.10_CLAHE.png,10.67977975,0.7028453329,6.37858354,264.8059904,14.5642039,0.9460089803,23.05444558,0.3340541124,21.60916174
clahe_s01,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s01\png\CLAHE\chazhuang.10_CLAHE.png,11.62352129,0.7600475159,6.203603892,263.204325,13.96998877,0.9662640095,24.90592926,0.3291497827,22.63156751
clahe_s02,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s02\png\CLAHE\chazhuang.10_CLAHE.png,11.19550218,0.7344172167,6.222160129,253.2757543,13.87775609,0.9652992487,24.8670055,0.3280837536,22.08889493
clahe_s03,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s03\png\CLAHE\chazhuang.10_CLAHE.png,10.96567898,0.7196954074,6.204605931,258.9110355,14.28295261,0.9548023939,23.98765527,0.3207326531,21.84528528
clahe_s04,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s04\png\CLAHE\chazhuang.10_CLAHE.png,10.63225258,0.7003106581,6.272376617,250.8816516,14.13347244,0.9521632791,23.59284616,0.3270447552,21.3267378
clahe_s05,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s05\png\CLAHE\chazhuang.10_CLAHE.png,11.02011282,0.7230578633,6.243371101,260.2122306,14.30756052,0.9566224813,24.18571599,0.3184566498,22.01937681
clahe_s06,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s06\png\CLAHE\chazhuang.10_CLAHE.png,10.62498412,0.699899248,6.174613299,246.2748971,14.01644473,0.9547609091,23.96099005,0.3281813562,21.24446347
clahe_s07,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s07\png\CLAHE\chazhuang.10_CLAHE.png,11.58752971,0.7580343103,6.222403712,261.3441272,13.93244293,0.9667224288,25.02120756,0.3247105777,22.44689448
clahe_s08,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s08\png\CLAHE\chazhuang.10_CLAHE.png,10.67145833,0.702206399,6.349595008,257.2737853,14.39099995,0.9485505223,23.38249521,0.3263988197,21.59314574
baseline,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\CLAHE\chazhuang.11_CLAHE.png,13.26212722,1.055118342,6.311818551,484.5296189,13.83156234,0.7221799493,11.04348972,0.6859295368,25.01396536
clahe_s01,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s01\png\CLAHE\chazhuang.11_CLAHE.png,17.90850039,1.329403611,6.540784443,730.0214685,17.2710956,0.6210724711,11.36179249,0.6828565001,32.96657089
clahe_s02,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s02\png\CLAHE\chazhuang.11_CLAHE.png,15.49645321,1.186351562,6.382132925,599.4288352,15.37903958,0.6782641411,11.62958265,0.7007285953,28.78139337
clahe_s03,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s03\png\CLAHE\chazhuang.11_CLAHE.png,13.22226774,1.05298966,6.26160553,483.6122502,13.71678112,0.7259269953,11.03121366,0.6932159066,25.05872052
clahe_s04,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s04\png\CLAHE\chazhuang.11_CLAHE.png,13.39031946,1.062851949,6.250351615,481.5532621,13.65659858,0.7294393778,11.32923253,0.6933626533,25.49359585
clahe_s05,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s05\png\CLAHE\chazhuang.11_CLAHE.png,12.15469129,0.9896419327,6.152971207,417.8927998,12.61081697,0.7645555735,11.99702615,0.6767269969,23.46879042
clahe_s06,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s06\png\CLAHE\chazhuang.11_CLAHE.png,13.30256333,1.05727487,6.264875397,493.4343309,13.99563324,0.7149685025,10.68013887,0.6977761388,25.34688336
clahe_s07,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s07\png\CLAHE\chazhuang.11_CLAHE.png,18.15623806,1.34316236,6.523152345,729.9279046,17.23725522,0.6240724325,11.83330585,0.6901875734,33.74814632
clahe_s08,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s08\png\CLAHE\chazhuang.11_CLAHE.png,12.22382425,0.994282019,6.180704342,434.0551038,12.95837912,0.7506841421,11.07577359,0.6770655513,23.36988272
baseline,chazhuang.12,chazhuang.12.jpg,chazhuang.12_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\CLAHE\chazhuang.12_CLAHE.png,25.80810204,1.707320578,7.270535615,212.4280417,12.60109658,0.9665198326,25.07111356,0.3465507925,48.16279373
clahe_s01,chazhuang.12,chazhuang.12.jpg,chazhuang.12_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\clahe\clahe_s01\png\CLAHE\chazhuang.12_CLAHE.png,25.04155301,1.64878686,7.109976393,213.8267976,12.32793104,0.9748799801,26.85351675,0.338853091,46.59580263
