method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
baseline,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\RGHS\chazhuang.1_RGHS.png,18.13833113,1.334492135,7.560740006,115.6143711,8.935842411,402,0.9000867605,19.44103174,1.232825756,37.87746275
rghs_s01,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s01\png\RGHS\chazhuang.1_RGHS.png,17.88135212,1.318903593,7.574146101,111.0823864,8.865935868,399,0.9028878808,19.49887933,1.28203845,37.17433921
rghs_s02,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s02\png\RGHS\chazhuang.1_RGHS.png,16.42599414,1.230954929,7.568266685,106.348462,8.670198903,373,0.9122257829,20.30231494,1.184051752,34.92674707
rghs_s03,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s03\png\RGHS\chazhuang.1_RGHS.png,18.03430024,1.328198446,7.569984058,115.4808435,8.940650647,388,0.9001057148,19.50827159,1.228983283,37.45375744
rghs_s04,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s04\png\RGHS\chazhuang.1_RGHS.png,17.57599141,1.3010212,7.572494647,116.0622453,8.904183654,395,0.9028096795,19.80913095,1.22808218,36.76108036
rghs_s05,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s05\png\RGHS\chazhuang.1_RGHS.png,19.02499443,1.386122722,7.576988074,134.0758425,9.713591619,475,0.8802139163,19.62201367,1.26947701,38.92419266
rghs_s06,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s06\png\RGHS\chazhuang.1_RGHS.png,15.07116071,1.149327045,7.565365959,101.772546,8.494842492,363,0.9195643067,21.17860877,1.254681587,32.46325828
rghs_s07,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s07\png\RGHS\chazhuang.1_RGHS.png,15.24197533,1.159994348,7.567900769,104.2727371,8.528404769,376,0.9189217687,21.13372607,1.185689449,32.83781726
rghs_s08,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\results\rghs\rghs_s08\png\RGHS\chazhuang.1_RGHS.png,19.64681778,1.424800868,7.569892847,124.4319798,9.228349233,432,0.8845013976,18.88510083,1.219700336,40.05022041
baseline,chazhuang.10,chazhuang.10.jpg,chazhuang.10_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h1-graypixel-bph-ablation\outputs\full506\runs\full506_locked_mainline\png\RGHS\chazhuang.10_RGHS.png,11.73385622,0.7629773417,5.954107573,258.9182798,12.54381185,1180,0.990387857,29.93973227,0.2783846259,21.88176466
