method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
ABC-Former,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chazhuang.4.jpg,1.352269875,0.3740335979,3.400591156,15.00047022,2.227516983,0.9985613823,35.93156266,0.4271796949,4.007506643
CBF,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chazhuang.4.jpg,7.747521278,0.7268024557,6.706413888,150.4228203,9.946320355,0.6548141837,17.31005601,1.15924185,20.94102338
GDCP,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chazhuang.4.jpg,4.832201019,0.5712512423,5.028752029,90.07799275,5.905577386,0.8933555484,27.19175077,0.9823294737,15.51935031
Histoformer,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chazhuang.4.jpg,26.48512319,1.795677743,7.468204126,1143.740282,35.51048805,0.2550584078,14.59767243,3.304440103,53.67574327
HLRP,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chazhuang.4.jpg,11.68857178,0.9458833115,6.56667234,234.0278997,15.651699,0.5205545425,17.97078422,1.083549347,27.64145894
HVDualformer,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chazhuang.4.jpg,1.463110695,0.3801095928,3.380838497,14.32959933,2.184241156,0.9957187772,31.68251972,0.4146710204,4.302231119
Ours,chazhuang.4,chazhuang.4.jpg,chazhuang.4.png,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chazhuang.4.png,9.160848135,0.8129376594,5.320755718,734.4363049,17.51010814,0.8034457564,16.91620162,1.586290307,20.53937424
SGUIE-Net,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chazhuang.4.jpg,5.404366126,0.5999665574,5.182878953,92.90471199,7.366359459,0.8342218399,26.02434771,1.0954655,17.1789918
WWPF,chazhuang.4,chazhuang.4.jpg,chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\WWPF\chazhuang.4.jpg,10.86228862,0.9155406337,6.615788083,485.0114077,19.45067997,0.5292925239,14.59241843,0.8224606753,26.77046701
ABC-Former,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.1.jpg,0.8623404363,0.3471473843,2.844246785,4.607964342,1.280923719,0.9981744289,35.65096552,0.5497479213,2.639816396
CBF,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.1.jpg,6.928885603,0.6800154089,6.403005745,69.63240106,8.958585809,0.5968097448,17.46089484,1.94764637,19.45435244
GDCP,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.1.jpg,2.855608055,0.4587822376,4.424602572,29.41631563,3.968708313,0.9291126132,25.50386898,1.198937453,11.72474609
