Method,Role,Count,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM,SSEQ,SIFT_GOOD_MATCHES,SIFT_MATCH_RATIO
raw,anchor_raw,166,2.274138852,0.424905581,3.78404033,24.11589451,3.023178253,1,361.2019991,2.126816993,7.44189218,1.123495314,,
Ours,legacy_ours_reference,166,14.63603903,1.121158951,5.967016942,765.3155887,22.04849736,0.7290759859,17.18850902,4.030983273,32.0509565,1.948339667,26.85542169,0.218435838
HVDualformer,enhancement_reference,166,2.495164175,0.4371076256,3.949304731,24.6096603,3.178526727,0.9917557516,33.80830572,1.659048252,8.106332212,1.229382986,90.87349398,0.7842291657
ABC-Former,enhancement_reference,166,2.325672397,0.4277193346,3.876955372,24.49062966,3.124350963,0.9983904969,42.06534797,2.084921242,7.492110667,1.181026309,110.3253012,0.9124764045
GDCP,enhancement_reference,166,6.723472957,0.6776828628,5.340884537,95.95287794,7.438024656,0.8800537259,24.16706878,3.515717143,18.79517748,1.785256121,72.47590361,0.6037618081
CBF,enhancement_reference,166,8.09249731,0.747380714,6.638911482,119.8896669,9.491935734,0.736280153,17.41559634,2.861794429,21.27710489,2.056411501,71.26506024,0.5235975963
HLRP,enhancement_high_noise_diagnostic,166,13.85278212,1.06909553,6.757982512,154.0878352,13.3429963,0.4099501868,13.67315966,2.760777904,31.61061993,2.370437877,33.8373494,0.1926908536
SGUIE-Net,enhancement_reference,166,6.097298002,0.6423166405,4.824859577,103.9581611,6.94913246,0.897675855,24.35226972,3.009450114,15.9561659,1.574924752,77.8253012,0.6198028756
Histoformer,enhancement_high_noise_diagnostic,166,22.40276602,1.554895967,7.246867554,749.0456534,28.40747943,0.3954053347,15.5025701,5.272677162,47.31546927,2.501306154,40.8253012,0.2095294966
WWPF,enhancement_incomplete_166_of_168,166,13.02931236,1.038339014,6.554662392,446.4036943,19.79901758,0.5732323742,15.23604655,2.614190645,29.73166704,2.291509362,58.19879518,0.4840045431
