method,method_role,stem,raw_filename,raw_sha256,raw_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM,SSEQ,SIFT_GOOD_MATCHES,SIFT_MATCH_RATIO,SIFT_RAW_KEYPOINTS,SIFT_ENHANCED_KEYPOINTS,SIFT_MATCH_STATUS,SSEQ_S1_SPATIAL_MEAN,SSEQ_S1_SPATIAL_SKEW,SSEQ_S1_SPECTRAL_MEAN,SSEQ_S1_SPECTRAL_SKEW,SSEQ_S2_SPATIAL_MEAN,SSEQ_S2_SPATIAL_SKEW,SSEQ_S2_SPECTRAL_MEAN,SSEQ_S2_SPECTRAL_SKEW,SSEQ_S3_SPATIAL_MEAN,SSEQ_S3_SPATIAL_SKEW,SSEQ_S3_SPECTRAL_MEAN,SSEQ_S3_SPECTRAL_SKEW
raw,anchor_raw,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,1.31594673,0.3720600219,3.313995929,14.36196121,2.088394033,1,361.2019991,0.3191777512,3.877565455,0.8420676236,,,,,reference_na,2.010504524,2.494595337,0.001714849437,5.930415286,1.511185076,2.399208412,0.0007125292297,5.206889185,1.527814955,1.77110282,0.0004738079096,4.482271724
Ours,legacy_ours_reference,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chazhuang.4.png,9.160848135,0.8129376594,5.320755718,734.4363049,17.51010814,0.8034457564,16.91620162,1.586290307,20.53937424,1.688914885,6,0.375,16,83,ok,3.262970804,0.3716930654,0.02454496084,4.240590656,3.628034789,1.74220411,0.005591865681,4.288851878,3.210211151,1.022097875,0.00213574191,3.386024758
HVDualformer,enhancement_reference,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chazhuang.4.jpg,1.463110695,0.3801095928,3.380838497,14.32959933,2.184241156,0.9957187772,31.68251972,0.4146710204,4.302231119,0.9545094969,14,0.875,16,21,ok,2.178205313,2.584238688,0.001880886172,5.825199876,1.764108061,2.276556356,0.0008060249313,5.058429455,1.781518961,1.730222892,0.0005377351331,4.610632087
ABC-Former,enhancement_reference,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chazhuang.4.jpg,1.352269875,0.3740335979,3.400591156,15.00047022,2.227516983,0.9985613823,35.93156266,0.4271796949,4.007506643,0.9119213473,15,0.9375,16,27,ok,2.138995169,2.396815699,0.001706178427,5.934714534,1.664535988,2.377924071,0.0007228571663,5.23088956,1.665093478,1.764226544,0.0004744130338,4.54350762
GDCP,enhancement_reference,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chazhuang.4.jpg,4.832201019,0.5712512423,5.028752029,90.07799275,5.905577386,0.8933555484,27.19175077,0.9823294737,15.51935031,1.585900352,13,0.8125,16,109,ok,3.524231275,1.46050419,0.009747827628,5.498630059,3.028497944,2.059632271,0.005088128046,4.413046545,2.944293194,1.317176882,0.003543741164,3.991083014
CBF,enhancement_reference,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chazhuang.4.jpg,7.747521278,0.7268024557,6.706413888,150.4228203,9.946320355,0.6548141837,17.31005601,1.15924185,20.94102338,2.026127088,10,0.625,16,145,ok,4.178517659,-0.6322866185,0.01698391483,4.362453369,3.823365052,0.2088076148,0.008113143959,3.364726795,4.120928808,-0.7135430398,0.008853952493,2.499345619
HLRP,enhancement_high_noise_diagnostic,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chazhuang.4.jpg,9.520164338,0.8237540811,6.477022957,155.5607759,12.62255442,0.5467459559,18.21498991,1.046717985,24.06366878,2.22214176,1,0.0625,16,441,ok,4.678885507,-0.3416464347,0.02643513462,3.765430082,4.335205474,0.1808848145,0.01439892239,3.186776093,4.265901018,-0.07481746556,0.0120245028,2.734267916
SGUIE-Net,enhancement_reference,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chazhuang.4.jpg,5.404366126,0.5999665574,5.182878953,92.90471199,7.366359459,0.8342218399,26.02434771,1.0954655,17.1789918,1.705508487,8,0.5,16,131,ok,3.845683139,1.277601725,0.01271355271,5.208221036,3.249380082,1.885996753,0.007880802508,4.225346599,3.110897785,1.322293821,0.006495560605,3.772643002
Histoformer,enhancement_high_noise_diagnostic,chazhuang.4,chazhuang.4.jpg,4769d4aaecf78760113c912b19fe251a5557b808020c3f7acaa06f96906ca989,D:\Desktop\MyEdgeCodex\input_test\algae\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chazhuang.4.jpg,26.48512319,1.795677743,7.468204126,1143.740282,35.51048805,0.2550584078,14.59767243,3.304440103,53.67574327,2.526319181,2,0.125,16,1272,ok,4.885257006,-0.5313607118,0.09008671886,2.805949434,5.066686558,-0.2927057586,0.04315418606,2.67314609,5.033722984,-0.2847399279,0.03900763267,2.290047331
raw,anchor_raw,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,0.7596390265,0.3415297848,2.607826662,4.347359914,1.174324263,1,361.2019991,0.6355184595,2.559535945,0.8359656811,,,,,reference_na,1.954811535,3.789797236,0.0006266018181,11.22969175,1.708371998,4.362492732,0.0004418448044,9.9848982,1.35119011,3.839606144,0.0003519971676,5.596813548
Ours,legacy_ours_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.1.png,35.4924195,2.302086735,7.105771555,1666.756132,45.96398636,0.2894762754,15.25739686,2.979310561,68.24114638,2.448155038,0,0,12,1077,ok,4.820968029,-0.6919299676,0.1021506899,1.175466476,5.100207137,-0.5276984303,0.03169041872,2.603645814,4.62267627,-0.02421823803,0.01123768061,1.784300565
HVDualformer,enhancement_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.1.jpg,1.08198302,0.3591892006,3.212758067,5.325367359,1.475510732,0.9930249453,29.35168688,0.4748848205,3.767869815,1.102133465,11,0.9166666667,12,18,ok,2.379824779,2.860787975,0.0009384556582,11.3459669,2.249976517,3.272323582,0.0007467968008,10.17119415,1.98067319,2.93179677,0.0006410526949,5.762752531
