method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
c25_full506,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.1_Final.png,15.43751368,1.158441196,7.190036011,246.1883131,13.22352649,1883,0.9188199639,20.52006244,1.523420215,35.15241113
c25_full506,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.10_Final.png,27.06858576,1.828000692,6.308573136,483.3496424,17.48270825,3445,0.8469355702,14.7609558,0.364528805,51.9655847
c25_full506,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.11_Final.png,13.28993161,1.044874346,5.486071868,886.737642,18.14925394,4141,0.8321211934,13.70653325,1.501418114,25.93560502
c25_full506,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.12_Final.png,23.43039644,1.619257149,6.665349019,449.3991477,16.28831064,2623,0.8513128161,14.92793664,0.3829449415,46.59706544
c25_full506,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.2_Final.png,6.384950549,0.6517122662,6.249605088,78.95582876,6.09809481,647,0.7905218005,11.95575854,0.3036479056,14.30783798
c25_full506,chazhuang.3,chazhuang.3.jpg,chazhuang.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.3.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.3_Final.png,9.646707097,0.8343935564,6.249031344,328.4717672,11.56572115,2538,0.7370009422,6.875790062,0.2791766226,19.68029841
c25_full506,chazhuang.4,chazhuang.4.jpg,chazhuang.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.4.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.4_Final.png,5.82826254,0.6289033223,4.719902693,629.0421483,10.09898136,1447,0.7560329437,13.50161188,1.249514341,11.02103667
c25_full506,chazhuang.5,chazhuang.5.jpg,chazhuang.5_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.5.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.5_Final.png,5.080539414,0.5866695644,4.596733356,529.6714636,8.907442633,1336,0.8808077574,11.49717243,1.656580806,9.536968222
c25_full506,chazhuang.6,chazhuang.6.jpg,chazhuang.6_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.6.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.6_Final.png,9.385571719,0.8349332299,4.553773105,816.1257494,14.25615728,2644,0.9173321128,17.46442569,0.3155993521,17.33861493
c25_full506,chazhuang.7,chazhuang.7.jpg,chazhuang.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.7.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.7_Final.png,7.164789462,0.7025812489,4.817658938,495.5683043,10.59557745,1849,0.8990665078,11.23510969,1.704852223,13.82428142
c25_full506,chazhuang.8,chazhuang.8.jpg,chazhuang.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.8.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.8_Final.png,5.305398493,0.5989867349,4.851755513,514.0906446,9.039077709,1350,0.8502952456,9.26192996,2.808191299,10.18072818
c25_full506,chazhuang.9,chazhuang.9.jpg,chazhuang.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.9.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.9_Final.png,6.21310476,0.6504391928,4.760281307,622.5201705,10.62279909,1843,0.8619400263,10.17269131,1.231203079,11.58052809
c25_full506,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chichaoyiwan.1_Final.png,26.60800967,1.795375602,6.844458487,945.2899736,28.96383265,13071,0.2784062028,16.29851818,2.269917727,49.22608601
c25_full506,chichaoyiwan.10,chichaoyiwan.10.jpg,chichaoyiwan.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.10.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chichaoyiwan.10_Final.png,13.33283748,1.035787758,6.494914734,97.76647237,8.5463016,1198,0.8569281697,14.85994735,8.228147507,29.96136161
c25_full506,chichaoyiwan.11,chichaoyiwan.11.jpg,chichaoyiwan.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.11.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chichaoyiwan.11_Final.png,9.528508899,0.829985261,6.051305362,312.4739273,12.10329179,2349,0.532135725,19.60970804,1.040381312,21.42239419
