method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
c25,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.1_Final.png,15.43751368,1.158441196,7.190036011,246.1883131,13.22352649,1883,0.9188199639,20.52006244,1.523420215,35.15241113
r4_03,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.1_Final.png,17.94363414,1.29931403,7.173774574,348.4725999,15.90619117,2580,0.8775186539,18.84443165,2.050814152,39.48186554
c25,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.10_Final.png,27.06858576,1.828000692,6.308573136,483.3496424,17.48270825,3445,0.8469355702,14.7609558,0.364528805,51.9655847
r4_03,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.10_Final.png,29.14313239,1.954010498,6.145047931,596.4120053,19.20143923,3479,0.7768566608,13.4844471,0.3766918182,55.18713765
c25,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.11_Final.png,13.28993161,1.044874346,5.486071868,886.737642,18.14925394,4141,0.8321211934,13.70653325,1.501418114,25.93560502
r4_03,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.11_Final.png,14.49377671,1.112368419,5.545343925,1016.720435,20.009988,4186,0.7753240466,14.1714432,2.106161118,27.93658455
c25,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.12_Final.png,23.43039644,1.619257149,6.665349019,449.3991477,16.28831064,2623,0.8513128161,14.92793664,0.3829449415,46.59706544
r4_03,chazhuang.12,chazhuang.12.jpg,chazhuang.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.12_Final.png,25.15587173,1.721459397,6.394205078,556.6382984,18.02292983,2654,0.7771080136,13.485646,0.3894499838,49.06400528
c25,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.2_Final.png,6.384950549,0.6517122662,6.249605088,78.95582876,6.09809481,647,0.7905218005,11.95575854,0.3036479056,14.30783798
r4_03,chazhuang.2,chazhuang.2.jpg,chazhuang.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.2.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.2_Final.png,7.441861784,0.710555678,6.284657043,122.2778752,7.6045289,1061,0.758662045,11.182339,0.6248408556,16.25415742
c25,chazhuang.3,chazhuang.3.jpg,chazhuang.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.3.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.3_Final.png,9.646707097,0.8343935564,6.249031344,328.4717672,11.56572115,2538,0.7370009422,6.875790062,0.2791766226,19.68029841
r4_03,chazhuang.3,chazhuang.3.jpg,chazhuang.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.3.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.3_Final.png,10.09425573,0.8621406177,5.708203082,514.6125637,14.03400327,2599,0.7978695631,10.68069323,0.4089419842,19.68738537
c25,chazhuang.4,chazhuang.4.jpg,chazhuang.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.4.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.4_Final.png,5.82826254,0.6289033223,4.719902693,629.0421483,10.09898136,1447,0.7560329437,13.50161188,1.249514341,11.02103667
r4_03,chazhuang.4,chazhuang.4.jpg,chazhuang.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.4.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.4_Final.png,6.306671397,0.656021309,4.46735864,694.0365645,10.81895917,1421,0.7633970976,13.90966808,1.71712625,11.74766236
c25,chazhuang.5,chazhuang.5.jpg,chazhuang.5_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.5.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.5_Final.png,5.080539414,0.5866695644,4.596733356,529.6714636,8.907442633,1336,0.8808077574,11.49717243,1.656580806,9.536968222
r4_03,chazhuang.5,chazhuang.5.jpg,chazhuang.5_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.5.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.5_Final.png,5.590120539,0.6158882069,4.594716435,577.2309855,9.524019001,1345,0.8758497834,12.07892327,2.167742491,10.30431225
c25,chazhuang.6,chazhuang.6.jpg,chazhuang.6_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.6.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.6_Final.png,9.385571719,0.8349332299,4.553773105,816.1257494,14.25615728,2644,0.9173321128,17.46442569,0.3155993521,17.33861493
r4_03,chazhuang.6,chazhuang.6.jpg,chazhuang.6_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.6.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.6_Final.png,10.43054226,0.8975740472,4.233338262,931.9311471,15.36370788,2470,0.8917422891,16.21870021,0.4839908481,18.87085793
c25,chazhuang.7,chazhuang.7.jpg,chazhuang.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.7.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.7_Final.png,7.164789462,0.7025812489,4.817658938,495.5683043,10.59557745,1849,0.8990665078,11.23510969,1.704852223,13.82428142
r4_03,chazhuang.7,chazhuang.7.jpg,chazhuang.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.7.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.7_Final.png,7.597606603,0.7268290992,4.693105991,570.858415,11.56236423,1836,0.8806550503,11.85000781,2.568693161,14.7305131
c25,chazhuang.8,chazhuang.8.jpg,chazhuang.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.8.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.8_Final.png,5.305398493,0.5989867349,4.851755513,514.0906446,9.039077709,1350,0.8502952456,9.26192996,2.808191299,10.18072818
r4_03,chazhuang.8,chazhuang.8.jpg,chazhuang.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.8.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.8_Final.png,5.553184382,0.6123035544,4.791909505,554.4158454,9.87242353,1345,0.8450575471,9.940060416,3.791199684,10.77930342
c25,chazhuang.9,chazhuang.9.jpg,chazhuang.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.9.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chazhuang.9_Final.png,6.21310476,0.6504391928,4.760281307,622.5201705,10.62279909,1843,0.8619400263,10.17269131,1.231203079,11.58052809
r4_03,chazhuang.9,chazhuang.9.jpg,chazhuang.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.9.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chazhuang.9_Final.png,6.873189863,0.6881314076,4.667752742,697.1188822,11.78198794,1808,0.8461526036,10.62126258,1.851251841,12.85911375
c25,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chichaoyiwan.1_Final.png,26.60800967,1.795375602,6.844458487,945.2899736,28.96383265,13071,0.2784062028,16.29851818,2.269917727,49.22608601
r4_03,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chichaoyiwan.1_Final.png,31.89065007,2.094195575,6.602640133,1421.505133,36.77616605,15767,0.2205629796,14.98787494,4.719007492,57.80702715
c25,chichaoyiwan.10,chichaoyiwan.10.jpg,chichaoyiwan.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.10.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chichaoyiwan.10_Final.png,13.33283748,1.035787758,6.494914734,97.76647237,8.5463016,1198,0.8569281697,14.85994735,8.228147507,29.96136161
r4_03,chichaoyiwan.10,chichaoyiwan.10.jpg,chichaoyiwan.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_refine_round4\r4_03_gamma_050_210_48\Final\chichaoyiwan.10_Final.png,15.51579548,1.157732082,6.616806635,144.8508572,10.66486045,1710,0.8227574825,14.99721073,10.57551479,34.77797742
c25,chichaoyiwan.11,chichaoyiwan.11.jpg,chichaoyiwan.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chichaoyiwan.11.jpg,D:\Desktop\Stage1Codex\results_optimized_c25\png\Final\chichaoyiwan.11_Final.png,9.528508899,0.829985261,6.051305362,312.4739273,12.10329179,2349,0.532135725,19.60970804,1.040381312,21.42239419
