# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM
donghaiyuanjia.10_HVDual.jpg   0.7174  0.3393   2.3403   8.3756     1.0983   103     0.9973  41.5110   0.5939  2.1084
donghaiyuanjia.11_HVDual.jpg   1.1139  0.3610   3.1855   13.4264    1.5469   108     0.9970  43.6195   0.8242  3.2558
donghaiyuanjia.12_HVDual.jpg   0.7280  0.3398   2.7110   7.0513     1.1556   71      0.9980  49.6339   0.4973  2.0693
donghaiyuanjia.13_HVDual.jpg   1.1551  0.3633   3.2740   12.2515    1.5180   141     0.9946  41.1138   0.7874  3.2375
donghaiyuanjia.14_HVDual.jpg   0.9823  0.3538   2.8572   12.6174    1.3927   181     0.9976  45.0999   0.6503  2.7459
donghaiyuanjia.15_HVDual.jpg   0.9470  0.3519   2.9532   10.0025    1.3509   106     0.9985  49.4361   0.5293  2.6849
donghaiyuanjia.17_HVDual.jpg   1.6245  0.3890   3.2496   20.3296    2.0194   308     0.9763  19.0050   0.7009  5.1290
donghaiyuanjia.19_HVDual.jpg   1.2188  0.3669   3.5717   14.5587    1.6969   176     0.9928  42.6377   0.8416  3.2795
donghaiyuanjia.1_HVDual.jpg    2.3475  0.4287   3.6915   19.0109    2.5662   301     0.9828  19.9492   0.7397  7.8921
donghaiyuanjia.2_HVDual.jpg    0.7296  0.3399   2.6653   5.3650     1.0481   35      0.9967  45.0997   0.6515  2.2421
donghaiyuanjia.31_HVDual.jpg   2.6321  0.4440   3.9534   12.7652    2.6736   215     0.9861  20.1734   0.5949  9.2603
donghaiyuanjia.4_HVDual.jpg    0.8094  0.3443   2.6934   5.1826     1.0556   45      0.9978  43.9975   0.5952  2.3700
donghaiyuanjia.5_HVDual.jpg    0.8834  0.3484   2.8531   8.7459     1.1884   56      0.9960  37.8822   0.6357  2.4764
donghaiyuanjia.7_HVDual.jpg    1.0563  0.3579   2.7605   12.1252    1.4379   124     0.9975  43.9663   0.6576  3.2171
donghaiyuanjia.8_HVDual.jpg    0.9706  0.3531   2.8886   7.7755     1.2772   88      0.9981  46.3043   0.6830  2.9075
donghaiyuanjia.9_HVDual.jpg    0.9488  0.3519   2.8139   7.5209     1.3186   81      0.9978  44.7987   0.6645  2.8817
