method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
c00_current,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c00_current\Final\chazhuang.1_Final.png,12.08770356,0.9686874621,6.830334919,164.2315978,10.32698551,1259,0.9282536507,19.13072967,1.381249785,29.13468416
c01_fused_only,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c01_fused_only\Final\chazhuang.1_Final.png,12.05291091,0.9661425786,7.281919932,116.5587921,8.597090189,554,0.9376705289,19.69549861,1.159995794,28.37638268
c02_homo_mild,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c02_homo_mild\Final\chazhuang.1_Final.png,12.8862807,1.0137451,7.111240564,151.6006466,9.960017165,1063,0.9508035779,20.02147855,1.217195153,30.40260503
c03_homo_strong,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c03_homo_strong\Final\chazhuang.1_Final.png,12.29782214,0.9807045706,6.650151319,193.5541389,11.12128086,1406,0.8829389811,18.18382651,1.704331636,28.81574065
c04_entropy_final,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c04_entropy_final\Final\chazhuang.1_Final.png,17.67046237,1.284391682,7.541093142,179.0939214,11.29935026,803,0.860023737,18.35934544,1.247910619,38.15172639
c05_homo_entropy,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c05_homo_entropy\Final\chazhuang.1_Final.png,16.3954423,1.211705102,7.353367848,260.4717819,13.65311552,1869,0.9079082012,20.9481986,1.387647629,36.80034197
c10_more_rghs,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c10_more_rghs\Final\chazhuang.1_Final.png,12.3072832,0.9816490614,6.851851103,166.4014351,10.39684718,1248,0.9289588332,19.17589034,1.418752313,29.79857991
c11_more_clahe,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c11_more_clahe\Final\chazhuang.1_Final.png,11.73406803,0.948720578,6.824861003,160.0942643,10.2289181,1248,0.9300541878,19.45608592,1.338063121,28.53039665
c12_more_imf,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c12_more_imf\Final\chazhuang.1_Final.png,12.21444036,0.9759117582,6.841081433,168.0613636,10.43503034,1277,0.9279497862,19.13600294,1.400753379,29.43640714
c13_higher_contrast,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\full506_post_stage_search\c13_higher_contrast\Final\chazhuang.1_Final.png,11.54132655,0.9380003333,6.835058527,161.6910854,10.29601893,1255,0.9321737289,19.94700266,1.30916965,28.38731027
