method,reference_method,composite_score,count,SIFT_KP,AvgGra,Contrast,EME,EMEE,UCIQE,UIQM,Entropy,MS_SSIM,PSNR,SIFT_KP_log_delta,AvgGra_log_delta,Contrast_log_delta,EME_log_delta,EMEE_log_delta,UCIQE_log_delta,UIQM_log_delta,Entropy_log_delta,MS_SSIM_log_delta,PSNR_log_delta
r2_06_homo_stronger_c05_entropy,r2_00_c05_base,3.6306546080433564,506,4217.644268774704,16.348184931878546,619.1274294961249,13.419312209224412,1.0540596471998642,3.539256051123849,27.442458146642448,6.021567203060731,0.707348940842472,16.06249011221947,0.007031210451718209,0.005622094206774616,0.007237512951771854,0.0005649493686913273,0.00030297133055248607,0.01522385387504581,8.120941473901006e-05,-0.0011263141661919695,0.0010354164968310391,0.0003336421505011761
r2_04_c05_entropy_strong,r2_00_c05_base,2.3184969505978965,506,4179.667984189723,16.254866818844192,606.6819918714455,13.828441358222095,1.0781915502549133,3.113856173433334,28.304791608937617,6.19171253139259,0.6779248261227909,15.686438990751506,0.005222224797917647,0.004706171429199371,0.0048007494433004606,0.0035682053899378004,0.0021138599141350967,-0.00014270588971735656,0.003175181781779727,0.0005455349071326413,-0.0006640910877465295,-0.00014016117995989483
r2_05_homo_mid_c05_entropy,r2_00_c05_base,1.4155287087597126,506,4157.853754940711,15.996919870592558,596.7584239227235,13.289479838020252,1.0467166737848053,3.277024077685925,27.27564621859676,6.0789282878400765,0.6996731693330018,15.936027269591811,0.00417566541452985,0.0021467850517402354,0.0028216649285552494,-0.0004072652759163409,-0.00025628884307615107,0.005986153936669439,-0.0005285063155421841,-0.0005574629371323699,0.0005989856780291064,0.00017555544974029016
r2_15_c21_plus_entropy,r2_00_c05_base,1.190652686274498,506,4137.025691699605,15.902237689675163,593.491247758094,12.963365545786488,1.0277055487555524,3.4603458711281125,26.64265478052179,5.984436620343593,0.7144516555982616,16.124511390558528,0.0031712815824009467,0.0011969672764168579,0.0021628752077394973,-0.002891804097895299,-0.0017226562640672107,0.0125180934938858,-0.0028765792669949745,-0.0014974354981933077,0.0014350660031873402,0.00041071842626533197
r2_14_c05_entropy_tight,r2_00_c05_base,0.7990228832687537,506,4116.747035573123,15.981964817203776,593.8801195218507,13.443807562546034,1.0557222891458262,3.116951664681491,27.6103041473739,6.1532127092416085,0.6841852970627457,15.674266625269217,0.0021885214507807076,0.0019971357603499004,0.002241476754997712,0.000747321038974522,0.000429061502048182,-2.3472881776469978e-05,0.0006909754420708039,0.0001712925730894965,-0.00029639600006282245,-0.00015568680778449618
r2_10_imf_detail_c05_final,r2_00_c05_base,0.20618792513752193,506,4083.810276679842,15.818390087407453,584.738133260978,13.376829477020703,1.0519252496620415,3.1214476086405427,27.486674826201817,6.1403700370635885,0.687974487103728,15.795269870592273,0.0005819508362537384,0.0003511045966570548,0.00037987254150607323,0.0002478681389263116,0.00014081265450352072,0.00014949243983312805,0.00024220481632397867,4.5932761101718345e-05,-7.547714142543298e-05,-1.8823923048718123e-06
r2_08_rghs_fusion_c05_final,r2_00_c05_base,0.010070538696509262,506,4038.7391304347825,15.680329072895079,579.690690485723,13.318966796584915,1.0493985588406345,3.230243777804695,27.304359366142926,6.113219787292367,0.692799120994189,15.691186889318466,-0.0016376285877772998,-0.0010514860082075097,-0.0006604605630888676,-0.00018562910873979953,-5.157593607953052e-05,0.0042607807639990425,-0.0004232914117094418,-0.00021995138797602194,0.00020405621524586758,-0.0001341085887013467
r2_00_c05_base,r2_00_c05_base,0.0,506,4071.9446640316205,15.783716211364503,582.8900103441305,13.343713637508657,1.050075323385028,3.117561422965743,27.42018133364977,6.135671100085415,0.689273871334174,15.796756585278665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2_02_c05_clip_low,r2_00_c05_base,0.0,506,4071.9446640316205,15.783716211364503,582.8900103441305,13.343713637508657,1.050075323385028,3.117561422965743,27.42018133364977,6.135671100085415,0.689273871334174,15.796756585278665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r2_01_c05_chroma_low,r2_00_c05_base,-2.5744626400814826e-07,506,4071.9446640316205,15.783716156337347,582.8900112153375,13.343713637508657,1.050075323385028,3.1175613732559406,27.42018133630724,6.135671095566141,0.6892738675647102,15.796756562101539,0.0,-5.578119131886227e-10,1.793560498778116e-10,0.0,0.0,-1.913411004906011e-09,9.69166968853517e-12,-4.419344225532437e-11,-2.187498410619159e-10,-2.9344158235955255e-11
r2_13_c05_entropy_wide,r2_00_c05_base,-0.9094795979619121,506,4022.8280632411065,15.563124011945305,570.6660451056755,13.22995117845573,1.0436449690171012,3.1158402513256185,27.21580172828708,6.113264093674832,0.6949508696087735,15.940371301648323,-0.0024271072324038414,-0.0022519229552748344,-0.0025433193840338378,-0.0008562097461572318,-0.0004914027611885912,-6.626898531169685e-05,-0.0007481536790175524,-0.00021951653148361626,0.0003280987503092707,0.00018100654494281014
r2_11_clahe_boost_c05_final,r2_00_c05_base,-1.0212310706748218,506,4066.8656126482215,15.707988920616291,574.6670285337703,13.201109164463796,1.0415250316217939,2.975927836044504,27.250632279757102,6.1335116852720475,0.6936654302442498,15.961117371961814,-0.00024962135103622337,-0.0007694972261662514,-0.0017049257753798442,-0.0010744531693379369,-0.0006540706010697979,-0.0055794279554608785,-0.0006202563534408356,-2.1120378167879787e-05,0.0002540428873625335,0.00020701921594889564
r2_09_rghs_fusion_c05_soft_entropy,r2_00_c05_base,-1.6072653536693995,506,3971.0513833992095,15.373444032510012,563.0918352419865,12.97985658694324,1.0296923495544337,3.232874512024548,26.688001985834294,6.072943346553221,0.700184301778733,15.77716791860325,-0.005017959608985893,-0.004213949057600529,-0.004146692946343881,-0.0027646722921986413,-0.0015681464210326344,0.004358469869957631,-0.0027065186714978168,-0.0006165643689103288,0.000628196221431641,-2.4816261513540424e-05
r2_03_c05_entropy_soft,r2_00_c05_base,-1.6805932066956404,506,4002.104743083004,15.464134765482024,565.4628367214895,12.985628925402642,1.0292816618417262,3.1195147228335203,26.77684006269139,6.097505867118974,0.6969396500248212,15.892399207970744,-0.003460056253846345,-0.0032728531821030267,-0.0036424717451563784,-0.0027202106660041015,-0.0016000603910376447,7.516213887466578e-05,-0.0023741950165133297,-0.00037437885730255677,0.00044240554318113304,0.00012072636295118206
r2_12_sigmoid_c05_final,r2_00_c05_base,-1.9738909338670896,506,4025.796442687747,15.565423245409969,563.8447956419517,13.045332607139748,1.032424587690043,2.9484429431291437,26.997216118144767,6.126534633591084,0.6948011141461817,16.108058641132356,-0.002279584903387875,-0.0022282869434847607,-0.003986337414426681,-0.0022614970195845453,-0.0013561514806904051,-0.006692866305055414,-0.0015545533347914187,-8.941100857723125e-05,0.0003194781927015031,0.0003903008786259326
r2_07_homo_soft_c05_entropy,r2_00_c05_base,-3.1556748983296377,506,3926.6324110671935,15.28385016577422,550.2661456526384,13.27922656322096,1.0467386796634632,2.8406478399226787,27.43002527364245,6.206884442669429,0.6757737563650599,15.589557601970885,-0.007267704818455675,-0.005149130055259477,-0.0069115733614214985,-0.0004844483736004019,-0.0002546069631276524,-0.011162275460861158,3.589390343956929e-05,0.0006923765429619628,-0.0007912137186117528,-0.0002640666783602915
