method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
Ours,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.1_Final.png,17.07508548,1.251847842,7.142394225,342.3980652,15.66199967,0.8847532272,19.54713048,1.831793308,38.20113791
HVDualformer,chazhuang.1,chazhuang.1.jpg,chazhuang.1_HVDual.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2025AAAI_HVDual_former\lgsresults\chazhuang.1_HVDual.jpg,6.713864116,0.6688992648,7.116703036,37.32105212,5.564452917,0.9993379712,39.85376721,0.7226140499,18.27102451
ABC-Former,chazhuang.1,chazhuang.1.jpg,chazhuang.1_AbcFormer.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2025CVPR_ABC-Former\ABC-Former\lgsresults\chazhuang.1_AbcFormer.jpg,6.490149574,0.6564952435,7.105658061,37.16282328,5.543741544,0.9995671511,49.71840686,0.6380728483,18.06598316
GDCP,chazhuang.1,chazhuang.1.jpg,chazhuang.1_GDCP.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2018_Generalization-of-the-Dark-Channel-Prior\lgsresults\chazhuang.1_GDCP.jpg,6.908366389,0.680539641,7.196772989,91.63363049,9.017982174,0.8715028167,10.95358059,0.8686807156,19.54222531
CBF,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CBF.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2018_Color-Balance-and-fusion-for-underwater-image-enhancement\lgsresult\chazhuang.1_CBF.jpg,12.49823278,0.9909574718,7.564996069,81.29841791,8.669645612,0.914902389,22.63991805,0.9405847788,29.33091994
HLRP,chazhuang.1,chazhuang.1.jpg,chazhuang.1_HLRP.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2022_HLRP-main\HLRP_Code\lgsresult\chazhuang.1_HLRP.jpg,12.69815732,0.9115834941,6.951819045,285.5366575,14.45465664,0.4324394763,12.20329478,0.7095471621,27.03053055
SGUIE-Net,chazhuang.1,chazhuang.1.jpg,chazhuang.1_SGUIEnet.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2022_SGUIE_Net_Simple\lgsresults\chazhuang.1_SGUIEnet.jpg,13.90916489,1.075745283,7.578739517,98.60616673,9.458130496,0.9268934131,23.83761478,1.364947915,31.8645079
Histoformer,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Histoformer.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2024_Histoformer-main\lgsresults\chazhuang.1_Histoformer.jpg,16.01492733,1.192589879,7.746462977,97.30558386,9.26560623,0.8799856305,19.61408541,1.190372109,35.46596538
WWPF,chazhuang.1,chazhuang.1.jpg,chazhuang.1_WWPF.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\2024_WWPF_code\2023-WWPE\datasets\lgsresults\chazhuang.1_WWPF.jpg,25.47860934,1.748698055,7.780911672,207.2949011,12.94525014,0.7961193919,16.99331199,0.9792414308,51.39068974
Ours,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.11_Final.png,13.06329446,1.031455214,5.377363062,884.4602909,18.17580394,0.7916198373,14.44477293,1.441907883,25.23136233
HVDualformer,chazhuang.11,chazhuang.11.jpg,chazhuang.11_HVDual.jpg,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\2025AAAI_HVDual_former\lgsresults\chazhuang.11_HVDual.jpg,5.970466873,0.6310940917,4.347720346,49.35146944,4.306092014,0.9984651804,40.79939544,0.5867447257,12.50403276
