method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
BPH,chazhuang.1,chazhuang.1.jpg,chazhuang.1_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\BPH\chazhuang.1_BPH.png,6.507730193,0.6574700263,7.093989674,36.79466105,5.51500537,0.999569118,51.01067299,1.327121854,17.95678203
IMF1Ray,chazhuang.1,chazhuang.1.jpg,chazhuang.1_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\IMF1Ray\chazhuang.1_IMF1Ray.png,9.104187221,0.8021043094,6.678635844,232.153463,10.49006119,0.870875895,21.09467009,1.196712971,21.73163389
RGHS,chazhuang.1,chazhuang.1.jpg,chazhuang.1_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\RGHS\chazhuang.1_RGHS.png,15.24197533,1.159994348,7.567900769,104.2727371,8.528404769,0.9189217687,21.13372607,1.185689449,32.83781726
CLAHE,chazhuang.1,chazhuang.1.jpg,chazhuang.1_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\CLAHE\chazhuang.1_CLAHE.png,14.87145021,1.133577365,7.565113547,95.47418201,9.064059157,0.9084455371,21.89286908,1.416372061,32.29691487
Fused,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Fused\chazhuang.1_Fused.png,10.54493567,0.8818151233,7.213119486,100.9174275,7.989074439,0.9553918839,21.71139084,1.119361997,25.80721804
Final,chazhuang.1,chazhuang.1.jpg,chazhuang.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.1.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.1_Final.png,17.07508548,1.251847842,7.142394225,342.3980652,15.66199967,0.8847532272,19.54713048,1.831793308,38.20113791
BPH,chazhuang.10,chazhuang.10.jpg,chazhuang.10_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\BPH\chazhuang.10_BPH.png,13.14538507,0.8527657581,5.997033744,188.896875,11.13561062,0.9998010397,50.59166812,0.274507165,25.30636954
IMF1Ray,chazhuang.10,chazhuang.10.jpg,chazhuang.10_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\IMF1Ray\chazhuang.10_IMF1Ray.png,26.11947564,1.771297244,5.940675115,687.35721,17.8841151,0.9175075293,16.04041434,0.2869094312,48.44336171
RGHS,chazhuang.10,chazhuang.10.jpg,chazhuang.10_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\RGHS\chazhuang.10_RGHS.png,14.25837098,0.9222212722,6.061832575,267.5835521,12.64828873,0.9893471003,29.09125986,0.2782312632,26.45531627
CLAHE,chazhuang.10,chazhuang.10.jpg,chazhuang.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\CLAHE\chazhuang.10_CLAHE.png,11.02011282,0.7230578633,6.243371101,260.2122306,14.30756052,0.9566224813,24.18571599,0.3184566498,22.01937681
Fused,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Fused\chazhuang.10_Fused.png,17.68204467,1.28154738,6.321573988,237.3996865,11.66903548,0.9718758464,18.11149538,0.2494571209,35.17104022
Final,chazhuang.10,chazhuang.10.jpg,chazhuang.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.10.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.10_Final.png,27.1240701,1.834671889,5.969340928,590.4434218,18.54994219,0.7908675075,13.52259099,0.3749321997,51.35983386
BPH,chazhuang.11,chazhuang.11.jpg,chazhuang.11_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\BPH\chazhuang.11_BPH.png,5.874056864,0.625945217,4.103093791,50.66542908,4.216019248,0.9989626408,51.54054137,0.569196701,11.78507937
IMF1Ray,chazhuang.11,chazhuang.11.jpg,chazhuang.11_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\IMF1Ray\chazhuang.11_IMF1Ray.png,10.84944482,0.9107186883,4.545156871,549.6442447,11.37954037,0.4897273779,20.59635292,0.6114177108,21.54302634
RGHS,chazhuang.11,chazhuang.11.jpg,chazhuang.11_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\RGHS\chazhuang.11_RGHS.png,14.12074844,1.104604608,6.13125669,603.6072149,14.36523455,0.6902027726,10.60733751,0.6756072044,28.84610685
CLAHE,chazhuang.11,chazhuang.11.jpg,chazhuang.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\CLAHE\chazhuang.11_CLAHE.png,12.15469129,0.9896419327,6.152971207,417.8927998,12.61081697,0.7645555735,11.99702615,0.6767269969,23.46879042
Fused,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Fused\chazhuang.11_Fused.png,8.606452472,0.7773497087,5.625871401,324.9135433,10.63290595,0.8472804427,13.16701712,0.5768143535,18.79119757
Final,chazhuang.11,chazhuang.11.jpg,chazhuang.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.11.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.11_Final.png,13.06329446,1.031455214,5.377363062,884.4602909,18.17580394,0.7916198373,14.44477293,1.441907883,25.23136233
BPH,chazhuang.12,chazhuang.12.jpg,chazhuang.12_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\BPH\chazhuang.12_BPH.png,30.10874812,1.986836042,6.85659645,156.4433875,10.06425398,1,361.2019991,0.2701326609,57.22130645
IMF1Ray,chazhuang.12,chazhuang.12.jpg,chazhuang.12_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\IMF1Ray\chazhuang.12_IMF1Ray.png,21.52745841,1.507940018,6.020617109,573.7311765,16.26232763,0.9139903188,16.67624502,0.2593021989,40.6223584
RGHS,chazhuang.12,chazhuang.12.jpg,chazhuang.12_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\RGHS\chazhuang.12_RGHS.png,29.75550459,1.939015136,6.800008981,222.5991526,11.60065667,0.9833515286,28.06390452,0.2792432308,52.6183034
CLAHE,chazhuang.12,chazhuang.12.jpg,chazhuang.12_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\chazhuang.12.jpg,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\CLAHE\chazhuang.12_CLAHE.png,26.17035201,1.732288461,7.240780691,216.4155907,12.61494294,0.9685370326,24.97394799,0.3471260071,49.18701431
