method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
c00_current,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c00_current\Final\donghaiyuanjia.10_Final.png,2.930428962,0.464525285,2.782734499,250.3001714,4.531631244,802,0.9218387008,20.15470308,1.675641656,5.871931559
c01_fused_only,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c01_fused_only\Final\donghaiyuanjia.10_Final.png,2.88767097,0.4610381655,4.591985403,111.6367996,3.344261761,427,0.8246893287,18.47919378,0.6216232181,6.098841627
c02_homo_mild,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c02_homo_mild\Final\donghaiyuanjia.10_Final.png,3.240211555,0.4826391575,3.27562678,225.8312549,4.453262121,719,0.8889750242,19.46704728,1.201355457,6.539506753
c03_homo_strong,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c03_homo_strong\Final\donghaiyuanjia.10_Final.png,2.950973175,0.465548267,2.779349459,276.3505731,4.897013799,812,0.9279386997,20.50790429,2.779369354,6.008316328
c04_entropy_final,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c04_entropy_final\Final\donghaiyuanjia.10_Final.png,4.215968894,0.5386567645,5.090013435,147.8556475,4.286106904,479,0.7420818806,16.03013211,0.6800197959,8.460592821
c05_homo_entropy,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c05_homo_entropy\Final\donghaiyuanjia.10_Final.png,3.784976763,0.5138570443,4.036882095,284.8796679,5.722647198,778,0.85187608,18.06784838,1.449448824,7.442622211
c10_more_rghs,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c10_more_rghs\Final\donghaiyuanjia.10_Final.png,3.173415941,0.4792260115,3.255332611,258.1376763,4.706373889,800,0.9178727269,19.12451912,1.857217193,6.271892036
c11_more_clahe,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c11_more_clahe\Final\donghaiyuanjia.10_Final.png,2.879438693,0.4613645332,3.394549602,238.3329007,4.590590259,793,0.9286379814,21.45805902,1.487352014,5.838661892
c12_more_imf,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c12_more_imf\Final\donghaiyuanjia.10_Final.png,2.991234449,0.4678275131,3.291609986,251.0165703,4.706161968,808,0.9187521338,20.16809471,1.659457326,6.128510645
c13_higher_contrast,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\experiments\optimization_v1\results\post_stage_search\c13_higher_contrast\Final\donghaiyuanjia.10_Final.png,2.721594895,0.4523246799,3.451112631,208.7692202,4.389668367,755,0.9375816584,24.10112095,1.135216832,5.669434983
