method,reference_method,composite_score,count,SIFT_KP,AvgGra,Contrast,EME,EMEE,UCIQE,UIQM,Entropy,MS_SSIM,PSNR,SIFT_KP_log_delta,AvgGra_log_delta,Contrast_log_delta,EME_log_delta,EMEE_log_delta,UCIQE_log_delta,UIQM_log_delta,Entropy_log_delta,MS_SSIM_log_delta,PSNR_log_delta
c05_homo_entropy,c00_current,10.138442574525659,92,2844.717391304348,12.477237215579988,477.3482252304246,9.895441926281151,0.8576315861810133,4.093172921434693,21.196946769945,5.675040581640149,0.8204357306594434,19.63897490181793,0.016728559537650962,0.020184295979801023,0.017506939133093362,0.021926056491970592,0.011263606317927933,-0.00913659853637375,0.02071591853198761,0.006290520447840225,-0.0029354367802885474,-0.0011594353783528249
c25_rghs_entropy_mid,c00_current,10.123967471914867,92,2851.086956521739,12.343958809428166,480.8305735803973,9.289138509194517,0.8225181128215727,4.714712771384613,19.87834414428058,5.439157993539661,0.8506206358256547,20.11764783785606,0.017175876017194464,0.018466026650035824,0.018379184777400488,0.015603214068719597,0.007919277003906452,0.007827507636088048,0.01429329395207623,0.003743313688122747,-0.0014902101875088971,-0.000677808886886276
c24_strong_entropy_light,c00_current,10.062625392856352,92,2863.9565217391305,12.352719684239318,484.4026893868407,8.682601336486494,0.7868598408454773,5.418231686820155,18.515090204122536,5.133745109781977,0.8729194713675458,20.760569474764612,0.018076627657668567,0.01857954313192457,0.019267375995315902,0.008850750221878687,0.004373647851410153,0.024517288712314993,0.007188812060826843,0.00027598361499001377,-0.00045512758161455615,-4.864773615165067e-05
c21_current_entropy_mid,c00_current,9.87488581981022,92,2864.195652173913,12.387160956146117,480.22107170846397,9.295521659023395,0.822395723387627,4.534091642369395,19.96151710318314,5.4571513436986985,0.84904552542645,20.395342749920697,0.018093326266760024,0.0190250268547181,0.018226976028169608,0.015671906743446123,0.00790737224086502,0.003139919792233302,0.014710830947078266,0.0039414728918025525,-0.0015643476097469502,-0.00040362595722383515
c23_homo_entropy_balanced,c00_current,8.678330058877673,92,2838.5652173913045,12.241732013622734,466.55307223873854,9.479195452777594,0.8332762269097395,4.153574151837307,20.417299721289847,5.602856676390435,0.8348227175681487,19.926013878412085,0.016295557926455494,0.017135465576410477,0.014762002036987262,0.017628577010724983,0.008958852048020324,-0.007378747302576151,0.01696846013343221,0.0055224528979382305,-0.0022400843795362104,-0.0008692353590799175
c20_current_entropy_light,c00_current,6.51263353293407,92,2773.3804347826085,11.886146531005826,455.5758970479249,8.77723819129624,0.7925462525665633,4.551583695670833,18.927578208284146,5.3364577030265625,0.8613111221272013,20.46595314166411,0.011649203995726568,0.012419112528421905,0.011904867526081199,0.009934812666438593,0.004949706035087651,0.0036019765818521305,0.009392205728417825,0.002599582472848829,-0.0009906283458687415,-0.0003345038596652535
c03_homo_strong,c00_current,6.0084709905251446,92,2739.728260869565,11.767375891294307,456.4586279835934,8.08694691598546,0.7528388095657818,5.558273319316947,17.128530910210248,4.971945275511818,0.8852570659440496,20.708588157256248,0.009207562175780667,0.010812293744631267,0.012137156419647065,0.0017437595285522323,0.0008377279327939026,0.027579448804997735,-0.0005952418256351569,-0.0016454723849470784,0.00010626300987888162,-9.8787500448081e-05
c14_entropy_conserve,c00_current,4.38633284787743,92,2621.4021739130435,11.251288697302886,439.4409834145427,8.368470529383048,0.7706140313988818,5.42883950860604,17.540767574253415,5.047583491236157,0.8783833766761033,19.609971587408285,0.00037768515196959766,0.003636569818685021,0.007577799585778636,0.005165746065879251,0.002704647919997309,0.024751995205328507,0.0017829781655753552,-0.0007395656778615352,-0.00020553406160084766,-0.0011889936949769926
c22_homo_entropy_soft,c00_current,3.718656720255013,92,2650.3152173913045,11.528772987441956,421.16998720100173,9.387261963941533,0.8284130454927944,3.7627876822067345,20.32293662829995,5.665484384686281,0.82318981250991,19.595854771691254,0.0025715306290679035,0.007534687662765994,0.0024817710277537748,0.016653998535809896,0.008490586855314553,-0.01923584139410222,0.016505216567911887,0.006189401327773793,-0.002801387540857151,-0.0012033964688882908
c10_more_rghs,c00_current,0.5363185757982389,92,2610.2391304347825,11.005357325898236,415.6226106761959,7.985193308318069,0.7475627234029474,4.601887180753376,17.191192204778737,5.0936548301715225,0.8828891632349595,20.398645254901652,-0.00047581834877534013,0.00010049156359493943,0.0008907078735703495,0.0004775315617450942,0.00027509370060674646,0.004920925221172629,-0.00023007941459886767,-0.00019440555734413285,-8.731119153487218e-07,-0.00040038773007368086
