method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
BPH,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.10_BPH.png,0.5461443233,0.3299107295,1.769939898,7.516310737,0.7797523383,157,0.9999171495,48.26361098,0.6585149765,1.569076861
IMF1Ray,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.10_IMF1Ray.png,1.759927744,0.3973432916,3.286518166,93.55667124,2.799593975,609,0.8552873731,21.15691042,0.6845307946,3.640802756
RGHS,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.10_RGHS.png,3.920622503,0.5273545061,4.088373863,194.1115987,3.564138687,444,0.8016854525,13.68381144,0.6801450253,7.301359643
CLAHE,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.10_CLAHE.png,4.89165794,0.5907231609,3.883379692,123.4497355,3.176038061,416,0.8416483998,20.52698575,0.7737733126,8.951287444
Fused,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.10_Fused.png,2.890874091,0.4612599689,4.574550196,111.7220758,3.314259874,438,0.8275766373,18.46923342,0.627263546,6.193756216
Final,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.10_Final.png,3.414973945,0.4937179639,3.376952298,257.2516017,5.330029324,797,0.9046059847,19.94769498,1.753869772,6.636426778
BPH,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.11_BPH.png,0.9125080674,0.3499903097,2.457404057,12.05741085,1.218988618,146,0.9995459914,48.70767052,0.965555191,2.817114597
IMF1Ray,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.11_IMF1Ray.png,2.580107968,0.4426554827,3.488146934,137.1500637,4.06404315,773,0.8313966393,20.91409767,0.9792497158,5.445570899
RGHS,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.11_RGHS.png,7.049934619,0.7127149176,4.57917814,238.5141262,5.248783221,615,0.8098198175,16.91255222,1.034946203,12.62304441
CLAHE,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.11_CLAHE.png,7.994145187,0.7749233902,4.821492639,151.0580329,4.624173071,571,0.835647881,20.44589757,1.111690044,14.78746917
Fused,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.11_Fused.png,4.681940634,0.5615618216,4.753202964,145.0283552,4.808167036,598,0.8338389993,21.61923322,0.9790210724,9.851318392
Final,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.11_Final.png,5.056864516,0.584915281,4.014059878,342.2168103,6.91833754,1218,0.9179888368,23.47725267,1.893066049,10.33978088
BPH,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.12_BPH.png,0.5826616357,0.331867727,2.383404669,6.243289577,0.8638494679,131,0.9998944402,48.28614582,0.5623191595,1.693942139
IMF1Ray,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.12_IMF1Ray.png,1.974257988,0.4087563002,3.529859483,103.0079692,3.561365615,803,0.7823166251,21.33105265,0.5861340165,4.774423753
RGHS,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.12_RGHS.png,4.44087696,0.5548437241,5.019672863,215.7393858,4.779011113,627,0.6754933,14.97381969,0.6398268938,9.281676604
CLAHE,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.12_CLAHE.png,4.666231324,0.5695322777,4.648133136,123.3811031,4.008131129,660,0.7785930037,20.61323668,0.7102367282,7.838628721
Fused,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.12_Fused.png,3.974636565,0.520943702,5.284689331,138.4854036,4.826385902,716,0.6898884773,21.01186127,0.5844315886,8.707509444
Final,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.12_Final.png,4.514181519,0.5554540638,3.684176991,371.9917712,7.051047135,1068,0.8510172963,23.17292923,1.355493546,8.382818963
BPH,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.13_BPH.png,0.9320287496,0.3510769209,2.440486347,10.9768221,1.179668432,163,0.9998806119,48.39551136,0.9312665462,2.69442745
IMF1Ray,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.13_IMF1Ray.png,2.43479661,0.4347866872,3.447922256,110.2398756,3.654310799,668,0.8214451075,21.21788719,0.9524828792,5.334682145
RGHS,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.13_RGHS.png,7.090063973,0.7178774091,4.316905744,224.8801038,4.966658144,584,0.7858493328,13.62564298,0.9978278875,12.67480029
CLAHE,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.13_CLAHE.png,7.360327928,0.734694329,4.88215961,134.8003625,4.267283207,559,0.8238396049,19.69088404,1.083525419,13.45779336
Fused,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.13_Fused.png,4.451136919,0.5490212464,4.587855528,138.0784581,4.397075975,604,0.8215437531,18.24520625,0.9497212768,9.16560525
Final,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.13_Final.png,5.125212021,0.5905803973,3.727868641,302.0784973,6.491841486,1219,0.8968029022,19.93989958,1.863817334,9.972492559
BPH,donghaiyuanjia.14,donghaiyuanjia.14.jpg,donghaiyuanjia.14_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.14.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.14_BPH.png,0.7741320843,0.3424324608,2.112454413,11.28974824,1.047936276,228,0.9988757968,50.16122731,0.7912124991,2.092435119
IMF1Ray,donghaiyuanjia.14,donghaiyuanjia.14.jpg,donghaiyuanjia.14_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.14.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.14_IMF1Ray.png,2.278419418,0.4264926745,3.397352453,128.3344142,3.520012702,719,0.8014910221,20.9866762,0.7599452734,4.868472379
RGHS,donghaiyuanjia.14,donghaiyuanjia.14.jpg,donghaiyuanjia.14_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.14.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.14_RGHS.png,6.082235799,0.6580090311,4.615231074,210.4857269,4.372777278,613,0.7937889099,16.49545366,0.8462597132,11.4556243
