# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM
donghaiyuanjia.10_GDCP.jpg     2.7227  0.4559   2.6773   49.3578    2.0530   233     0.9455  23.0781   1.6099  5.8781
donghaiyuanjia.11_GDCP.jpg     4.9772  0.5873   3.7074   75.9003    3.2667   266     0.9241  20.7836   2.5504  10.7063
donghaiyuanjia.12_GDCP.jpg     2.7624  0.4564   3.4930   44.4085    2.4374   321     0.9088  25.0798   1.5075  5.8729
donghaiyuanjia.13_GDCP.jpg     4.7794  0.5769   3.1506   71.4497    3.1075   307     0.9149  21.9183   2.4681  9.8934
donghaiyuanjia.14_GDCP.jpg     4.5331  0.5625   3.7657   64.8541    2.8613   325     0.9197  19.9613   1.9741  8.8517
donghaiyuanjia.15_GDCP.jpg     4.0426  0.5318   3.4477   55.2276    2.7828   276     0.9508  20.4957   1.3828  8.2414
donghaiyuanjia.2_GDCP.jpg      2.7362  0.4545   3.2052   38.3180    2.2272   161     0.9065  27.1652   1.8859  5.9629
donghaiyuanjia.4_GDCP.jpg      2.7611  0.4541   3.6020   34.8501    2.3866   197     0.9162  26.5344   1.8022  6.1115
donghaiyuanjia.5_GDCP.jpg      3.4625  0.4988   3.4621   52.4287    2.4895   264     0.9156  26.8586   1.7493  7.0606
donghaiyuanjia.7_GDCP.jpg      5.1057  0.5950   3.8236   83.9723    3.4817   399     0.8704  24.3367   2.3080  10.5477
donghaiyuanjia.8_GDCP.jpg      3.9812  0.5264   3.7461   41.2635    2.6204   264     0.9296  17.6557   2.0789  8.3982
donghaiyuanjia.9_GDCP.jpg      3.8696  0.5202   3.7423   50.4361    2.8707   277     0.9153  24.8433   2.1854  8.0710
