# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM
donghaiyuanjia.10_SGUIEnet.jpg 1.1660  0.3643   2.3186   24.4587    1.4867   249     0.9842  33.2775   1.1679  3.2118
donghaiyuanjia.11_SGUIEnet.jpg 1.9948  0.4100   3.2831   38.4829    2.3590   259     0.9784  32.4544   1.7582  5.3811
donghaiyuanjia.12_SGUIEnet.jpg 1.2194  0.3670   3.0109   21.8229    1.6975   273     0.9794  34.6946   1.0825  3.3973
donghaiyuanjia.13_SGUIEnet.jpg 1.9813  0.4094   2.9857   33.3459    2.1845   252     0.9748  32.2035   1.7406  5.0865
donghaiyuanjia.14_SGUIEnet.jpg 1.7684  0.3976   3.0791   34.2623    2.0688   314     0.9763  32.6667   1.3612  4.4157
donghaiyuanjia.15_SGUIEnet.jpg 1.6319  0.3900   3.0447   28.4309    1.9542   268     0.9878  32.9767   1.1004  4.2719
donghaiyuanjia.17_SGUIEnet.jpg 1.6664  0.3916   3.1203   46.8504    2.5527   584     0.9862  18.2197   1.5515  5.7343
donghaiyuanjia.19_SGUIEnet.jpg 1.3673  0.3753   3.8031   19.3832    1.7325   207     0.9887  33.4454   1.1092  4.0996
donghaiyuanjia.1_SGUIEnet.jpg  1.9901  0.4093   3.4343   35.1193    2.8119   381     0.9848  16.2364   1.4322  7.3663
donghaiyuanjia.2_SGUIEnet.jpg  1.2085  0.3664   2.6679   15.5473    1.4515   108     0.9779  32.6520   1.5302  3.5478
donghaiyuanjia.31_SGUIEnet.jpg 2.1203  0.4161   3.8264   20.0931    2.7691   268     0.9813  16.1069   1.1318  8.3760
donghaiyuanjia.4_SGUIEnet.jpg  1.3594  0.3746   2.9822   14.7059    1.5737   141     0.9789  32.2693   1.5056  3.7632
donghaiyuanjia.5_SGUIEnet.jpg  1.4449  0.3797   2.8564   23.2912    1.6343   187     0.9807  32.6314   1.3407  3.8800
donghaiyuanjia.7_SGUIEnet.jpg  1.9146  0.4056   3.0928   33.9139    2.2422   277     0.9724  33.2061   1.6023  5.0320
donghaiyuanjia.8_SGUIEnet.jpg  1.6721  0.3920   3.1336   21.5887    1.9060   232     0.9792  32.5010   1.5048  4.5145
donghaiyuanjia.9_SGUIEnet.jpg  1.6410  0.3903   3.0654   21.3084    1.9160   221     0.9789  33.0294   1.5400  4.5071
